year,age_1,age_2,age_3,age_4,age_5,age_6,age_7,Fbar_mean_2_5
1971,0.219,0.685,0.635,0.55,0.359,0.519,0.519,0.557
1972,0.006,0.518,0.397,0.567,0.585,0.521,0.521,0.517
1973,0.165,0.731,0.553,0.437,0.442,0.481,0.481,0.541
1974,0.001,0.208,0.29,0.407,0.595,0.435,0.435,0.375
1975,0.156,0.367,0.313,1.16,0.871,0.791,0.791,0.678
1976,0.034,0.838,0.327,0.333,0.717,0.463,0.463,0.554
1977,0.011,0.57,0.352,0.135,0.338,0.277,0.277,0.349
1978,0.097,0.431,0.405,0.322,0.287,0.34,0.34,0.361
1979,0.089,0.34,0.512,0.433,0.585,0.515,0.515,0.468
1980,0.066,0.513,0.601,0.896,0.767,0.764,0.764,0.694
1981,0.082,0.776,0.987,0.89,0.58,0.829,0.829,0.808
1982,0.048,0.68,0.653,0.642,0.586,0.633,0.633,0.64
1983,0.274,0.747,0.987,0.861,0.741,0.874,0.874,0.834
1984,0.153,0.617,0.499,0.514,0.496,0.507,0.507,0.532
1985,0.175,0.577,0.624,0.505,0.45,0.531,0.531,0.539
1986,0.184,0.752,0.881,0.978,0.536,0.808,0.808,0.787
1987,0.148,0.596,0.757,1.165,0.726,0.894,0.894,0.811
1988,0.215,0.691,0.497,0.606,0.763,0.629,0.629,0.639
1989,0.269,0.768,1.01,0.51,0.978,0.843,0.843,0.816
1990,0.121,0.923,0.942,0.954,0.602,0.843,0.843,0.855
1991,0.17,0.865,0.869,1.173,1.018,1.034,1.034,0.981
1992,0.172,0.786,0.948,0.724,0.948,0.884,0.884,0.851
1993,0.101,0.656,0.908,0.705,0.726,0.789,0.789,0.749
1994,0.135,0.536,1.067,0.792,0.602,0.831,0.831,0.749
1995,0.116,0.811,0.588,0.919,0.584,0.705,0.705,0.726
1996,0.113,0.741,0.999,0.617,1.058,0.903,0.903,0.854
1997,0.166,0.834,1.052,0.835,0.504,0.807,0.807,0.806
1998,0.18,0.925,0.982,1.09,0.829,0.98,0.98,0.956
1999,0.319,0.792,1.001,0.795,0.9,0.91,0.91,0.872
2000,0.23,0.785,0.965,0.716,0.574,0.763,0.763,0.76
2001,0.173,0.824,0.671,0.704,0.822,0.553,0.553,0.755
2002,0.133,0.817,1.099,0.917,0.59,0.326,0.326,0.856
2003,0.108,0.873,1.224,1.063,0.607,0.327,0.327,0.942
2004,0.163,0.719,0.956,1.053,1.102,0.838,0.838,0.958
2005,0.096,0.768,1.147,1.004,1.042,0.648,0.648,0.99
2006,0.11,0.749,0.93,0.729,0.921,1.119,1.119,0.832
2007,0.179,0.937,1.028,0.678,0.694,0.797,0.797,0.834
2008,0.104,0.651,0.788,0.895,0.699,0.836,0.836,0.758
2009,0.072,0.491,0.775,0.673,1.15,0.765,0.765,0.772
2010,0.052,0.374,0.489,0.58,0.79,1.108,1.108,0.558
2011,0.51,0.679,0.413,0.441,0.44,0.395,0.395,0.493
2012,0.056,0.407,0.87,1.034,0.446,0.369,0.369,0.689
2013,0.102,0.692,0.972,0.964,1.192,0.86,0.86,0.955
2014,0.134,0.668,0.854,0.819,0.943,0.503,0.503,0.821
2015,0.09,0.6,0.646,0.602,0.664,0.502,0.502,0.628
2016,0.052,0.432,0.55,0.409,0.364,0.434,0.434,0.439
