year,rec,ssb
1971,4769,10093
1972,928,9298
1973,2810,8617
1974,889,8327
1975,6031,7526
1976,1986,7316
1977,2871,8841
1978,2741,9689
1979,6630,9848
1980,12254,10347
1981,5179,11212
1982,2117,13547
1983,6923,13008
1984,6696,9568
1985,5892,13103
1986,5000,13692
1987,25361,11364
1988,12239,16607
1989,3648,26324
1990,4042,19126
1991,11365,10846
1992,11743,9074
1993,3700,12281
1994,13716,14360
1995,9675,13027
1996,7430,15916
1997,10001,14101
1998,5018,12590
1999,2352,10985
2000,10657,7673
2001,8841,8590
2002,2185,10858
2003,1300,8873
2004,2931,4641
2005,4166,3397
2006,4585,3769
2007,3865,5121
2008,1610,5455
2009,3004,5092
2010,13533,4956
2011,4897,9064
2012,830,13628
2013,1461,9604
2014,7711,4929
2015,537,5327
2016,3385,7043
