year,recruitment,ssb,catch,landings,tsb,Fbar2_5,
1971,4769,10093,5782,5782,15346,0.557,
1972,928,9298,4737,4737,12808,0.517,
1973,2810,8617,4015,4015,11700,0.541,
1974,889,8327,2898,2898,10717,0.375,
1975,6031,7526,3993,3993,12589,0.678,
1976,1986,7316,4818,4818,12224,0.554,
1977,2871,8841,3059,3059,12545,0.349,
1978,2741,9689,3647,3647,13783,0.361,
1979,6630,9848,4650,4650,16346,0.467,
1980,12254,10347,7243,7243,22845,0.694,
1981,5179,11212,10597,10597,20697,0.808,
1982,2117,13547,8766,8766,18951,0.64,
1983,6923,13008,9641,9641,18545,0.834,
1984,6696,9568,6631,6631,17147,0.531,
1985,5892,13103,8317,8317,21794,0.539,
1986,5000,13692,10475,10475,20931,0.787,
1987,25361,11364,10228,10228,28403,0.811,
1988,12239,16607,17191,17191,41445,0.639,
1989,3648,26324,19809,19809,37580,0.817,
1990,4042,19126,12749,12749,25110,0.855,
1991,11365,10846,9336,9336,19521,0.981,
1992,11743,9074,9747,9747,21917,0.851,
1993,3700,12281,10425,10425,20981,0.749,
1994,13716,14360,10620,10620,26254,0.749,
1995,9675,13027,11709,11709,26015,0.726,
1996,7430,15916,12681,12681,26397,0.854,
1997,10001,14101,12035,12035,23422,0.806,
1998,5018,12590,11431,11431,19651,0.956,
1999,2352,10985,8594,8594,16113,0.872,
2000,10657,7673,6536,6536,15320,0.76,
2001,8841,8590,8308,8308,18994,0.755,
2002,2185,10858,9236,9236,15995,0.856,
2003,1300,8873,6420,6420,11331,0.942,
2004,2931,4641,3672,3672,7224,0.958,
2005,4166,3397,3062,3062,7547,0.99,
2006,4585,3769,3776,3776,8965,0.832,
2007,3865,5121,4830,4830,10448,0.834,
2008,1610,5455,3961,3961,9023,0.758,
2009,3004,5092,3292,3292,9228,0.772,
2010,13533,4956,3229,3229,17821,0.558,
2011,4897,9064,7261,7261,17115,0.493,
2012,830,13628,7692,7692,17219,0.689,|
2013,1461,9604,6290,6290,11519,0.955,
2014,7711,4929,3879,3879,9488,0.821,
2015,537,5327,4154,4154,9358,0.628,
2016,3385,7043,3299,3299,10254,0.439,
