"age","year","unit","season","area","iter","data"
1,2000,1,1,"unique",1,10657
1,2001,1,1,"unique",1,8841
1,2002,1,1,"unique",1,2185
1,2003,1,1,"unique",1,1300
1,2004,1,1,"unique",1,2931
1,2005,1,1,"unique",1,4166
1,2006,1,1,"unique",1,4585
1,2007,1,1,"unique",1,3865
1,2008,1,1,"unique",1,1610
1,2009,1,1,"unique",1,3004
1,2010,1,1,"unique",1,13533
1,2011,1,1,"unique",1,4897
1,2012,1,1,"unique",1,830
1,2013,1,1,"unique",1,1461
1,2014,1,1,"unique",1,7711
1,2015,1,1,"unique",1,537
1,2016,1,1,"unique",1,3385
2,2000,1,1,"unique",1,1025
2,2001,1,1,"unique",1,5077
2,2002,1,1,"unique",1,4455
2,2003,1,1,"unique",1,1147
2,2004,1,1,"unique",1,700
2,2005,1,1,"unique",1,1492
2,2006,1,1,"unique",1,2268
2,2007,1,1,"unique",1,2463
2,2008,1,1,"unique",1,1936
2,2009,1,1,"unique",1,870
2,2010,1,1,"unique",1,1676
2,2011,1,1,"unique",1,7697
2,2012,1,1,"unique",1,1762
2,2013,1,1,"unique",1,470
2,2014,1,1,"unique",1,790
2,2015,1,1,"unique",1,4043
2,2016,1,1,"unique",1,294
3,2000,1,1,"unique",1,788
3,2001,1,1,"unique",1,323
3,2002,1,1,"unique",1,1541
3,2003,1,1,"unique",1,1363
3,2004,1,1,"unique",1,331
3,2005,1,1,"unique",1,236
3,2006,1,1,"unique",1,479
3,2007,1,1,"unique",1,742
3,2008,1,1,"unique",1,668
3,2009,1,1,"unique",1,699
3,2010,1,1,"unique",1,368
3,2011,1,1,"unique",1,798
3,2012,1,1,"unique",1,2702
3,2013,1,1,"unique",1,812
3,2014,1,1,"unique",1,163
3,2015,1,1,"unique",1,280
3,2016,1,1,"unique",1,1535
4,2000,1,1,"unique",1,378
4,2001,1,1,"unique",1,222
4,2002,1,1,"unique",1,122
4,2003,1,1,"unique",1,379
4,2004,1,1,"unique",1,296
4,2005,1,1,"unique",1,94
4,2006,1,1,"unique",1,55
4,2007,1,1,"unique",1,140
4,2008,1,1,"unique",1,196
4,2009,1,1,"unique",1,224
4,2010,1,1,"unique",1,237
4,2011,1,1,"unique",1,167
4,2012,1,1,"unique",1,389
4,2013,1,1,"unique",1,835
4,2014,1,1,"unique",1,227
4,2015,1,1,"unique",1,51
4,2016,1,1,"unique",1,108
5,2000,1,1,"unique",1,114
5,2001,1,1,"unique",1,141
5,2002,1,1,"unique",1,84
5,2003,1,1,"unique",1,37
5,2004,1,1,"unique",1,100
5,2005,1,1,"unique",1,79
5,2006,1,1,"unique",1,26
5,2007,1,1,"unique",1,20
5,2008,1,1,"unique",1,54
5,2009,1,1,"unique",1,61
5,2010,1,1,"unique",1,87
5,2011,1,1,"unique",1,102
5,2012,1,1,"unique",1,82
5,2013,1,1,"unique",1,106
5,2014,1,1,"unique",1,243
5,2015,1,1,"unique",1,76
5,2016,1,1,"unique",1,21
6,2000,1,1,"unique",1,36
6,2001,1,1,"unique",1,50
6,2002,1,1,"unique",1,49
6,2003,1,1,"unique",1,36
6,2004,1,1,"unique",1,16
6,2005,1,1,"unique",1,26
6,2006,1,1,"unique",1,22
6,2007,1,1,"unique",1,8
6,2008,1,1,"unique",1,8
6,2009,1,1,"unique",1,21
6,2010,1,1,"unique",1,15
6,2011,1,1,"unique",1,31
6,2012,1,1,"unique",1,51
6,2013,1,1,"unique",1,41
6,2014,1,1,"unique",1,25
6,2015,1,1,"unique",1,74
6,2016,1,1,"unique",1,31
7,2000,1,1,"unique",1,29
7,2001,1,1,"unique",1,50
7,2002,1,1,"unique",1,44
7,2003,1,1,"unique",1,28
7,2004,1,1,"unique",1,14
7,2005,1,1,"unique",1,5
7,2006,1,1,"unique",1,8
7,2007,1,1,"unique",1,8
7,2008,1,1,"unique",1,8
7,2009,1,1,"unique",1,4
7,2010,1,1,"unique",1,3
7,2011,1,1,"unique",1,7
7,2012,1,1,"unique",1,25
7,2013,1,1,"unique",1,11
7,2014,1,1,"unique",1,3
7,2015,1,1,"unique",1,24
7,2016,1,1,"unique",1,55
