"age","year","unit","season","area","iter","data"
"all",2000,1,"all","unique",1,1
"all",2001,1,"all","unique",1,1
"all",2002,1,"all","unique",1,1
"all",2003,1,"all","unique",1,1
"all",2004,1,"all","unique",1,1
"all",2005,1,"all","unique",1,1
"all",2006,1,"all","unique",1,1
"all",2007,1,"all","unique",1,1
"all",2008,1,"all","unique",1,1
"all",2009,1,"all","unique",1,1
"all",2010,1,"all","unique",1,1
"all",2011,1,"all","unique",1,1
"all",2012,1,"all","unique",1,1
"all",2013,1,"all","unique",1,1
"all",2014,1,"all","unique",1,1
"all",2015,1,"all","unique",1,1
"all",2016,1,"all","unique",1,1
"all",2017,1,"all","unique",1,1
"all",2018,1,"all","unique",1,1
"all",2019,1,"all","unique",1,1
"all",2020,1,"all","unique",1,1
"all",2021,1,"all","unique",1,1
"all",2022,1,"all","unique",1,1
"all",2023,1,"all","unique",1,1
"all",2024,1,"all","unique",1,1
"all",2025,1,"all","unique",1,1
"all",2026,1,"all","unique",1,1
"all",2027,1,"all","unique",1,1
"all",2028,1,"all","unique",1,1
"all",2029,1,"all","unique",1,1
"all",2030,1,"all","unique",1,1
