"age","year","unit","season","area","iter","data"
1,2000,1,"all","unique",1,10657
1,2001,1,"all","unique",1,8841
1,2002,1,"all","unique",1,2185
1,2003,1,"all","unique",1,1300
1,2004,1,"all","unique",1,2931
1,2005,1,"all","unique",1,4166
1,2006,1,"all","unique",1,4585
1,2007,1,"all","unique",1,3865
1,2008,1,"all","unique",1,1610
1,2009,1,"all","unique",1,3004
1,2010,1,"all","unique",1,13533
1,2011,1,"all","unique",1,4897
1,2012,1,"all","unique",1,830
1,2013,1,"all","unique",1,1461
1,2014,1,"all","unique",1,7711
1,2015,1,"all","unique",1,537
1,2016,1,"all","unique",1,3385
