"age","year","unit","season","area","iter","data"
"all",2000,1,"all","unique",1,7673
"all",2001,1,"all","unique",1,8590
"all",2002,1,"all","unique",1,10858
"all",2003,1,"all","unique",1,8873
"all",2004,1,"all","unique",1,4641
"all",2005,1,"all","unique",1,3397
"all",2006,1,"all","unique",1,3769
"all",2007,1,"all","unique",1,5121
"all",2008,1,"all","unique",1,5455
"all",2009,1,"all","unique",1,5092
"all",2010,1,"all","unique",1,4956
"all",2011,1,"all","unique",1,9064
"all",2012,1,"all","unique",1,13628
"all",2013,1,"all","unique",1,9604
"all",2014,1,"all","unique",1,4929
"all",2015,1,"all","unique",1,5327
"all",2016,1,"all","unique",1,7043
