"age","year","unit","season","area","iter","data"
1,2000,1,"all","unique",1,1
1,2001,1,"all","unique",1,1
1,2002,1,"all","unique",1,1
1,2003,1,"all","unique",1,1
1,2004,1,"all","unique",1,1
1,2005,1,"all","unique",1,1
1,2006,1,"all","unique",1,1
1,2007,1,"all","unique",1,1
1,2008,1,"all","unique",1,1
1,2009,1,"all","unique",1,1
1,2010,1,"all","unique",1,1
1,2011,1,"all","unique",1,1
1,2012,1,"all","unique",1,1
1,2013,1,"all","unique",1,1
1,2014,1,"all","unique",1,1
1,2015,1,"all","unique",1,1
1,2016,1,"all","unique",1,1
1,2017,1,"all","unique",1,1
1,2018,1,"all","unique",1,1
1,2019,1,"all","unique",1,1
1,2020,1,"all","unique",1,1
1,2021,1,"all","unique",1,1
1,2022,1,"all","unique",1,1
1,2023,1,"all","unique",1,1
1,2024,1,"all","unique",1,1
1,2025,1,"all","unique",1,1
1,2026,1,"all","unique",1,1
1,2027,1,"all","unique",1,1
1,2028,1,"all","unique",1,1
1,2029,1,"all","unique",1,1
1,2030,1,"all","unique",1,1
