"age","year","unit","season","area","iter","data"
1,"2000",1,"all","unique",1,NA
1,"2001",1,"all","unique",1,NA
1,"2002",1,"all","unique",1,NA
1,"2003",1,"all","unique",1,NA
1,"2004",1,"all","unique",1,NA
1,"2005",1,"all","unique",1,NA
1,"2006",1,"all","unique",1,NA
1,"2007",1,"all","unique",1,NA
1,"2008",1,"all","unique",1,2.62227379762023
1,"2009",1,"all","unique",1,2.36787810146361
1,"2010",1,"all","unique",1,2.22110925705166
1,"2011",1,"all","unique",1,2.1185637423756
1,"2012",1,"all","unique",1,2.08720500371171
1,"2013",1,"all","unique",1,2.18941300071146
1,"2014",1,"all","unique",1,NA
1,"2015",1,"all","unique",1,NA
1,"2016",1,"all","unique",1,NA
2,"2000",1,"all","unique",1,NA
2,"2001",1,"all","unique",1,NA
2,"2002",1,"all","unique",1,NA
2,"2003",1,"all","unique",1,NA
2,"2004",1,"all","unique",1,NA
2,"2005",1,"all","unique",1,NA
2,"2006",1,"all","unique",1,NA
2,"2007",1,"all","unique",1,NA
2,"2008",1,"all","unique",1,2.62227379762023
2,"2009",1,"all","unique",1,2.36787810146361
2,"2010",1,"all","unique",1,2.22110925705166
2,"2011",1,"all","unique",1,2.1185637423756
2,"2012",1,"all","unique",1,2.08720500371171
2,"2013",1,"all","unique",1,2.18941300071146
2,"2014",1,"all","unique",1,NA
2,"2015",1,"all","unique",1,NA
2,"2016",1,"all","unique",1,NA
3,"2000",1,"all","unique",1,NA
3,"2001",1,"all","unique",1,NA
3,"2002",1,"all","unique",1,NA
3,"2003",1,"all","unique",1,NA
3,"2004",1,"all","unique",1,NA
3,"2005",1,"all","unique",1,NA
3,"2006",1,"all","unique",1,NA
3,"2007",1,"all","unique",1,NA
3,"2008",1,"all","unique",1,2.62227379762023
3,"2009",1,"all","unique",1,2.36787810146361
3,"2010",1,"all","unique",1,2.22110925705166
3,"2011",1,"all","unique",1,2.1185637423756
3,"2012",1,"all","unique",1,2.08720500371171
3,"2013",1,"all","unique",1,2.18941300071146
3,"2014",1,"all","unique",1,NA
3,"2015",1,"all","unique",1,NA
3,"2016",1,"all","unique",1,NA
4,"2000",1,"all","unique",1,NA
4,"2001",1,"all","unique",1,NA
4,"2002",1,"all","unique",1,NA
4,"2003",1,"all","unique",1,NA
4,"2004",1,"all","unique",1,NA
4,"2005",1,"all","unique",1,NA
4,"2006",1,"all","unique",1,NA
4,"2007",1,"all","unique",1,NA
4,"2008",1,"all","unique",1,2.62227379762023
4,"2009",1,"all","unique",1,2.36787810146361
4,"2010",1,"all","unique",1,2.22110925705166
4,"2011",1,"all","unique",1,2.1185637423756
4,"2012",1,"all","unique",1,2.08720500371171
4,"2013",1,"all","unique",1,2.18941300071146
4,"2014",1,"all","unique",1,NA
4,"2015",1,"all","unique",1,NA
4,"2016",1,"all","unique",1,NA
5,"2000",1,"all","unique",1,NA
5,"2001",1,"all","unique",1,NA
5,"2002",1,"all","unique",1,NA
5,"2003",1,"all","unique",1,NA
5,"2004",1,"all","unique",1,NA
5,"2005",1,"all","unique",1,NA
5,"2006",1,"all","unique",1,NA
5,"2007",1,"all","unique",1,NA
5,"2008",1,"all","unique",1,2.62227379762023
5,"2009",1,"all","unique",1,2.36787810146361
5,"2010",1,"all","unique",1,2.22110925705166
5,"2011",1,"all","unique",1,2.1185637423756
5,"2012",1,"all","unique",1,2.08720500371171
5,"2013",1,"all","unique",1,2.18941300071146
5,"2014",1,"all","unique",1,NA
5,"2015",1,"all","unique",1,NA
5,"2016",1,"all","unique",1,NA
6,"2000",1,"all","unique",1,NA
6,"2001",1,"all","unique",1,NA
6,"2002",1,"all","unique",1,NA
6,"2003",1,"all","unique",1,NA
6,"2004",1,"all","unique",1,NA
6,"2005",1,"all","unique",1,NA
6,"2006",1,"all","unique",1,NA
6,"2007",1,"all","unique",1,NA
6,"2008",1,"all","unique",1,2.62227379762023
6,"2009",1,"all","unique",1,2.36787810146361
6,"2010",1,"all","unique",1,2.22110925705166
6,"2011",1,"all","unique",1,2.1185637423756
6,"2012",1,"all","unique",1,2.08720500371171
6,"2013",1,"all","unique",1,2.18941300071146
6,"2014",1,"all","unique",1,NA
6,"2015",1,"all","unique",1,NA
6,"2016",1,"all","unique",1,NA
7,"2000",1,"all","unique",1,NA
7,"2001",1,"all","unique",1,NA
7,"2002",1,"all","unique",1,NA
7,"2003",1,"all","unique",1,NA
7,"2004",1,"all","unique",1,NA
7,"2005",1,"all","unique",1,NA
7,"2006",1,"all","unique",1,NA
7,"2007",1,"all","unique",1,NA
7,"2008",1,"all","unique",1,2.62227379762023
7,"2009",1,"all","unique",1,2.36787810146361
7,"2010",1,"all","unique",1,2.22110925705166
7,"2011",1,"all","unique",1,2.1185637423756
7,"2012",1,"all","unique",1,2.08720500371171
7,"2013",1,"all","unique",1,2.18941300071146
7,"2014",1,"all","unique",1,NA
7,"2015",1,"all","unique",1,NA
7,"2016",1,"all","unique",1,NA
