"age","year","unit","season","area","iter","data"
"all",2000,1,"all","unique",1,NA
"all",2001,1,"all","unique",1,NA
"all",2002,1,"all","unique",1,NA
"all",2003,1,"all","unique",1,NA
"all",2004,1,"all","unique",1,NA
"all",2005,1,"all","unique",1,NA
"all",2006,1,"all","unique",1,NA
"all",2007,1,"all","unique",1,NA
"all",2008,1,"all","unique",1,0.305836934530978
"all",2009,1,"all","unique",1,0.298354579288675
"all",2010,1,"all","unique",1,0.278902446590983
"all",2011,1,"all","unique",1,0.306782346587623
"all",2012,1,"all","unique",1,0.277324469015403
"all",2013,1,"all","unique",1,0.287962525191315
"all",2014,1,"all","unique",1,0.287962525191315
"all",2015,1,"all","unique",1,NA
"all",2016,1,"all","unique",1,NA
