"age","year","unit","season","area","iter","data"
"all",2000,1,"all","unique",1,NA
"all",2001,1,"all","unique",1,NA
"all",2002,1,"all","unique",1,NA
"all",2003,1,"all","unique",1,NA
"all",2004,1,"all","unique",1,NA
"all",2005,1,"all","unique",1,NA
"all",2006,1,"all","unique",1,NA
"all",2007,1,"all","unique",1,NA
"all",2008,1,"all","unique",1,147122.886571056
"all",2009,1,"all","unique",1,122448.370257967
"all",2010,1,"all","unique",1,126078.588143526
"all",2011,1,"all","unique",1,117765.337145015
"all",2012,1,"all","unique",1,109015.089658247
"all",2013,1,"all","unique",1,122719.829574803
"all",2014,1,"all","unique",1,122719.829574803
"all",2015,1,"all","unique",1,NA
"all",2016,1,"all","unique",1,NA
