"age","year","unit","season","area","iter","data"
"all",2000,1,"all","unique",1,NA
"all",2001,1,"all","unique",1,NA
"all",2002,1,"all","unique",1,NA
"all",2003,1,"all","unique",1,NA
"all",2004,1,"all","unique",1,NA
"all",2005,1,"all","unique",1,NA
"all",2006,1,"all","unique",1,NA
"all",2007,1,"all","unique",1,NA
"all",2008,1,"all","unique",1,3.88134571775878
"all",2009,1,"all","unique",1,3.32978243312057
"all",2010,1,"all","unique",1,3.66067725917721
"all",2011,1,"all","unique",1,4.3148958302063
"all",2012,1,"all","unique",1,4.48218498554307
"all",2013,1,"all","unique",1,4.31102283162059
"all",2014,1,"all","unique",1,4.3723550360643
"all",2015,1,"all","unique",1,NA
"all",2016,1,"all","unique",1,NA
