"age","year","unit","season","area","iter","data"
0,"2000",1,"all","unique",1,NA
0,"2001",1,"all","unique",1,NA
0,"2002",1,"all","unique",1,NA
0,"2003",1,"all","unique",1,NA
0,"2004",1,"all","unique",1,NA
0,"2005",1,"all","unique",1,NA
0,"2006",1,"all","unique",1,NA
0,"2007",1,"all","unique",1,NA
0,"2008",1,"all","unique",1,1.65843242423039
0,"2009",1,"all","unique",1,1.22209979620211
0,"2010",1,"all","unique",1,1.26890766974906
0,"2011",1,"all","unique",1,1.2733189030855
0,"2012",1,"all","unique",1,1.26962555127597
0,"2013",1,"all","unique",1,1.35417618292984
0,"2014",1,"all","unique",1,NA
0,"2015",1,"all","unique",1,NA
0,"2016",1,"all","unique",1,NA
1,"2000",1,"all","unique",1,NA
1,"2001",1,"all","unique",1,NA
1,"2002",1,"all","unique",1,NA
1,"2003",1,"all","unique",1,NA
1,"2004",1,"all","unique",1,NA
1,"2005",1,"all","unique",1,NA
1,"2006",1,"all","unique",1,NA
1,"2007",1,"all","unique",1,NA
1,"2008",1,"all","unique",1,1.65843242423039
1,"2009",1,"all","unique",1,1.22209979620211
1,"2010",1,"all","unique",1,1.26890766974906
1,"2011",1,"all","unique",1,1.2733189030855
1,"2012",1,"all","unique",1,1.26962555127597
1,"2013",1,"all","unique",1,1.35417618292984
1,"2014",1,"all","unique",1,NA
1,"2015",1,"all","unique",1,NA
1,"2016",1,"all","unique",1,NA
2,"2000",1,"all","unique",1,NA
2,"2001",1,"all","unique",1,NA
2,"2002",1,"all","unique",1,NA
2,"2003",1,"all","unique",1,NA
2,"2004",1,"all","unique",1,NA
2,"2005",1,"all","unique",1,NA
2,"2006",1,"all","unique",1,NA
2,"2007",1,"all","unique",1,NA
2,"2008",1,"all","unique",1,1.65843242423039
2,"2009",1,"all","unique",1,1.22209979620211
2,"2010",1,"all","unique",1,1.26890766974906
2,"2011",1,"all","unique",1,1.2733189030855
2,"2012",1,"all","unique",1,1.26962555127597
2,"2013",1,"all","unique",1,1.35417618292984
2,"2014",1,"all","unique",1,NA
2,"2015",1,"all","unique",1,NA
2,"2016",1,"all","unique",1,NA
3,"2000",1,"all","unique",1,NA
3,"2001",1,"all","unique",1,NA
3,"2002",1,"all","unique",1,NA
3,"2003",1,"all","unique",1,NA
3,"2004",1,"all","unique",1,NA
3,"2005",1,"all","unique",1,NA
3,"2006",1,"all","unique",1,NA
3,"2007",1,"all","unique",1,NA
3,"2008",1,"all","unique",1,1.65843242423039
3,"2009",1,"all","unique",1,1.22209979620211
3,"2010",1,"all","unique",1,1.26890766974906
3,"2011",1,"all","unique",1,1.2733189030855
3,"2012",1,"all","unique",1,1.26962555127597
3,"2013",1,"all","unique",1,1.35417618292984
3,"2014",1,"all","unique",1,NA
3,"2015",1,"all","unique",1,NA
3,"2016",1,"all","unique",1,NA
4,"2000",1,"all","unique",1,NA
4,"2001",1,"all","unique",1,NA
4,"2002",1,"all","unique",1,NA
4,"2003",1,"all","unique",1,NA
4,"2004",1,"all","unique",1,NA
4,"2005",1,"all","unique",1,NA
4,"2006",1,"all","unique",1,NA
4,"2007",1,"all","unique",1,NA
4,"2008",1,"all","unique",1,1.65843242423039
4,"2009",1,"all","unique",1,1.22209979620211
4,"2010",1,"all","unique",1,1.26890766974906
4,"2011",1,"all","unique",1,1.2733189030855
4,"2012",1,"all","unique",1,1.26962555127597
4,"2013",1,"all","unique",1,1.35417618292984
4,"2014",1,"all","unique",1,NA
4,"2015",1,"all","unique",1,NA
4,"2016",1,"all","unique",1,NA
5,"2000",1,"all","unique",1,NA
5,"2001",1,"all","unique",1,NA
5,"2002",1,"all","unique",1,NA
5,"2003",1,"all","unique",1,NA
5,"2004",1,"all","unique",1,NA
5,"2005",1,"all","unique",1,NA
5,"2006",1,"all","unique",1,NA
5,"2007",1,"all","unique",1,NA
5,"2008",1,"all","unique",1,1.65843242423039
5,"2009",1,"all","unique",1,1.22209979620211
5,"2010",1,"all","unique",1,1.26890766974906
5,"2011",1,"all","unique",1,1.2733189030855
5,"2012",1,"all","unique",1,1.26962555127597
5,"2013",1,"all","unique",1,1.35417618292984
5,"2014",1,"all","unique",1,NA
5,"2015",1,"all","unique",1,NA
5,"2016",1,"all","unique",1,NA
6,"2000",1,"all","unique",1,NA
6,"2001",1,"all","unique",1,NA
6,"2002",1,"all","unique",1,NA
6,"2003",1,"all","unique",1,NA
6,"2004",1,"all","unique",1,NA
6,"2005",1,"all","unique",1,NA
6,"2006",1,"all","unique",1,NA
6,"2007",1,"all","unique",1,NA
6,"2008",1,"all","unique",1,1.65843242423039
6,"2009",1,"all","unique",1,1.22209979620211
6,"2010",1,"all","unique",1,1.26890766974906
6,"2011",1,"all","unique",1,1.2733189030855
6,"2012",1,"all","unique",1,1.26962555127597
6,"2013",1,"all","unique",1,1.35417618292984
6,"2014",1,"all","unique",1,NA
6,"2015",1,"all","unique",1,NA
6,"2016",1,"all","unique",1,NA
7,"2000",1,"all","unique",1,NA
7,"2001",1,"all","unique",1,NA
