"age","year","unit","season","area","iter","data"
"all",2000,1,"all","unique",1,NA
"all",2001,1,"all","unique",1,NA
"all",2002,1,"all","unique",1,NA
"all",2003,1,"all","unique",1,NA
"all",2004,1,"all","unique",1,NA
"all",2005,1,"all","unique",1,NA
"all",2006,1,"all","unique",1,NA
"all",2007,1,"all","unique",1,NA
"all",2008,1,"all","unique",1,0.224014450921744
"all",2009,1,"all","unique",1,0.257042137445067
"all",2010,1,"all","unique",1,0.255324596216444
"all",2011,1,"all","unique",1,0.266628841768005
"all",2012,1,"all","unique",1,0.252586555965788
"all",2013,1,"all","unique",1,0.209439303070971
"all",2014,1,"all","unique",1,0.19651237382173
"all",2015,1,"all","unique",1,NA
"all",2016,1,"all","unique",1,NA
