"age","year","unit","season","area","iter","data"
"all",2000,1,"all","unique",1,NA
"all",2001,1,"all","unique",1,NA
"all",2002,1,"all","unique",1,NA
"all",2003,1,"all","unique",1,NA
"all",2004,1,"all","unique",1,NA
"all",2005,1,"all","unique",1,NA
"all",2006,1,"all","unique",1,NA
"all",2007,1,"all","unique",1,NA
"all",2008,1,"all","unique",1,115407.689230769
"all",2009,1,"all","unique",1,121810.369017341
"all",2010,1,"all","unique",1,121855.057428571
"all",2011,1,"all","unique",1,142862.911907514
"all",2012,1,"all","unique",1,113458.07255814
"all",2013,1,"all","unique",1,98238.4131764706
"all",2014,1,"all","unique",1,100605.603855422
"all",2015,1,"all","unique",1,NA
"all",2016,1,"all","unique",1,NA
