"age","year","unit","season","area","iter","data"
"all",2000,1,"all","unique",1,NA
"all",2001,1,"all","unique",1,NA
"all",2002,1,"all","unique",1,NA
"all",2003,1,"all","unique",1,NA
"all",2004,1,"all","unique",1,NA
"all",2005,1,"all","unique",1,NA
"all",2006,1,"all","unique",1,NA
"all",2007,1,"all","unique",1,NA
"all",2008,1,"all","unique",1,5.20880644811892
"all",2009,1,"all","unique",1,5.24441121181196
"all",2010,1,"all","unique",1,4.54541450178857
"all",2011,1,"all","unique",1,5.50959969730225
"all",2012,1,"all","unique",1,5.29067484047958
"all",2013,1,"all","unique",1,6.43822308256315
"all",2014,1,"all","unique",1,6.48042515902304
"all",2015,1,"all","unique",1,NA
"all",2016,1,"all","unique",1,NA
