"age","year","unit","season","area","iter","data"
0,"2000",1,"all","unique",1,NA
0,"2001",1,"all","unique",1,NA
0,"2002",1,"all","unique",1,NA
0,"2003",1,"all","unique",1,NA
0,"2004",1,"all","unique",1,NA
0,"2005",1,"all","unique",1,NA
0,"2006",1,"all","unique",1,NA
0,"2007",1,"all","unique",1,NA
0,"2008",1,"all","unique",1,1.40227205883545
0,"2009",1,"all","unique",1,1.40227205883545
0,"2010",1,"all","unique",1,1.32732974609789
0,"2011",1,"all","unique",1,1.50679392295795
0,"2012",1,"all","unique",1,1.5703036558449
0,"2013",1,"all","unique",1,1.5703036558449
0,"2014",1,"all","unique",1,NA
0,"2015",1,"all","unique",1,NA
0,"2016",1,"all","unique",1,NA
1,"2000",1,"all","unique",1,NA
1,"2001",1,"all","unique",1,NA
1,"2002",1,"all","unique",1,NA
1,"2003",1,"all","unique",1,NA
1,"2004",1,"all","unique",1,NA
1,"2005",1,"all","unique",1,NA
1,"2006",1,"all","unique",1,NA
1,"2007",1,"all","unique",1,NA
1,"2008",1,"all","unique",1,1.40227205883545
1,"2009",1,"all","unique",1,1.40227205883545
1,"2010",1,"all","unique",1,1.32732974609789
1,"2011",1,"all","unique",1,1.50679392295795
1,"2012",1,"all","unique",1,1.5703036558449
1,"2013",1,"all","unique",1,1.5703036558449
1,"2014",1,"all","unique",1,NA
1,"2015",1,"all","unique",1,NA
1,"2016",1,"all","unique",1,NA
2,"2000",1,"all","unique",1,NA
2,"2001",1,"all","unique",1,NA
2,"2002",1,"all","unique",1,NA
2,"2003",1,"all","unique",1,NA
2,"2004",1,"all","unique",1,NA
2,"2005",1,"all","unique",1,NA
2,"2006",1,"all","unique",1,NA
2,"2007",1,"all","unique",1,NA
2,"2008",1,"all","unique",1,1.40227205883545
2,"2009",1,"all","unique",1,1.40227205883545
2,"2010",1,"all","unique",1,1.32732974609789
2,"2011",1,"all","unique",1,1.50679392295795
2,"2012",1,"all","unique",1,1.5703036558449
2,"2013",1,"all","unique",1,1.5703036558449
2,"2014",1,"all","unique",1,NA
2,"2015",1,"all","unique",1,NA
2,"2016",1,"all","unique",1,NA
3,"2000",1,"all","unique",1,NA
3,"2001",1,"all","unique",1,NA
3,"2002",1,"all","unique",1,NA
3,"2003",1,"all","unique",1,NA
3,"2004",1,"all","unique",1,NA
3,"2005",1,"all","unique",1,NA
3,"2006",1,"all","unique",1,NA
3,"2007",1,"all","unique",1,NA
3,"2008",1,"all","unique",1,1.40227205883545
3,"2009",1,"all","unique",1,1.40227205883545
3,"2010",1,"all","unique",1,1.32732974609789
3,"2011",1,"all","unique",1,1.50679392295795
3,"2012",1,"all","unique",1,1.5703036558449
3,"2013",1,"all","unique",1,1.5703036558449
3,"2014",1,"all","unique",1,NA
3,"2015",1,"all","unique",1,NA
3,"2016",1,"all","unique",1,NA
4,"2000",1,"all","unique",1,NA
4,"2001",1,"all","unique",1,NA
4,"2002",1,"all","unique",1,NA
4,"2003",1,"all","unique",1,NA
4,"2004",1,"all","unique",1,NA
4,"2005",1,"all","unique",1,NA
4,"2006",1,"all","unique",1,NA
4,"2007",1,"all","unique",1,NA
4,"2008",1,"all","unique",1,1.40227205883545
4,"2009",1,"all","unique",1,1.40227205883545
4,"2010",1,"all","unique",1,1.32732974609789
4,"2011",1,"all","unique",1,1.50679392295795
4,"2012",1,"all","unique",1,1.5703036558449
4,"2013",1,"all","unique",1,1.5703036558449
4,"2014",1,"all","unique",1,NA
4,"2015",1,"all","unique",1,NA
4,"2016",1,"all","unique",1,NA
5,"2000",1,"all","unique",1,NA
5,"2001",1,"all","unique",1,NA
5,"2002",1,"all","unique",1,NA
5,"2003",1,"all","unique",1,NA
5,"2004",1,"all","unique",1,NA
5,"2005",1,"all","unique",1,NA
5,"2006",1,"all","unique",1,NA
5,"2007",1,"all","unique",1,NA
5,"2008",1,"all","unique",1,1.40227205883545
5,"2009",1,"all","unique",1,1.40227205883545
5,"2010",1,"all","unique",1,1.32732974609789
5,"2011",1,"all","unique",1,1.50679392295795
5,"2012",1,"all","unique",1,1.5703036558449
5,"2013",1,"all","unique",1,1.5703036558449
5,"2014",1,"all","unique",1,NA
5,"2015",1,"all","unique",1,NA
5,"2016",1,"all","unique",1,NA
6,"2000",1,"all","unique",1,NA
6,"2001",1,"all","unique",1,NA
6,"2002",1,"all","unique",1,NA
6,"2003",1,"all","unique",1,NA
6,"2004",1,"all","unique",1,NA
6,"2005",1,"all","unique",1,NA
6,"2006",1,"all","unique",1,NA
6,"2007",1,"all","unique",1,NA
6,"2008",1,"all","unique",1,1.40227205883545
6,"2009",1,"all","unique",1,1.40227205883545
6,"2010",1,"all","unique",1,1.32732974609789
6,"2011",1,"all","unique",1,1.50679392295795
6,"2012",1,"all","unique",1,1.5703036558449
6,"2013",1,"all","unique",1,1.5703036558449
6,"2014",1,"all","unique",1,NA
6,"2015",1,"all","unique",1,NA
6,"2016",1,"all","unique",1,NA
7,"2000",1,"all","unique",1,NA
7,"2001",1,"all","unique",1,NA
