"age","year","unit","season","area","iter","data"
0,"2000",1,"all","unique",1,NA
0,"2001",1,"all","unique",1,NA
0,"2002",1,"all","unique",1,NA
0,"2003",1,"all","unique",1,NA
0,"2004",1,"all","unique",1,NA
0,"2005",1,"all","unique",1,NA
0,"2006",1,"all","unique",1,NA
0,"2007",1,"all","unique",1,NA
0,"2008",1,"all","unique",1,0.803158134284023
0,"2009",1,"all","unique",1,0.799480807806283
0,"2010",1,"all","unique",1,0.928265187219742
0,"2011",1,"all","unique",1,1.18031625082314
0,"2012",1,"all","unique",1,1.24928995032306
0,"2013",1,"all","unique",1,1.14138288281457
0,"2014",1,"all","unique",1,NA
0,"2015",1,"all","unique",1,NA
0,"2016",1,"all","unique",1,NA
1,"2000",1,"all","unique",1,NA
1,"2001",1,"all","unique",1,NA
1,"2002",1,"all","unique",1,NA
1,"2003",1,"all","unique",1,NA
1,"2004",1,"all","unique",1,NA
1,"2005",1,"all","unique",1,NA
1,"2006",1,"all","unique",1,NA
1,"2007",1,"all","unique",1,NA
1,"2008",1,"all","unique",1,0.803158134284023
1,"2009",1,"all","unique",1,0.799480807806283
1,"2010",1,"all","unique",1,0.928265187219742
1,"2011",1,"all","unique",1,1.18031625082314
1,"2012",1,"all","unique",1,1.24928995032306
1,"2013",1,"all","unique",1,1.14138288281457
1,"2014",1,"all","unique",1,NA
1,"2015",1,"all","unique",1,NA
1,"2016",1,"all","unique",1,NA
2,"2000",1,"all","unique",1,NA
2,"2001",1,"all","unique",1,NA
2,"2002",1,"all","unique",1,NA
2,"2003",1,"all","unique",1,NA
2,"2004",1,"all","unique",1,NA
2,"2005",1,"all","unique",1,NA
2,"2006",1,"all","unique",1,NA
2,"2007",1,"all","unique",1,NA
2,"2008",1,"all","unique",1,0.803158134284023
2,"2009",1,"all","unique",1,0.799480807806283
2,"2010",1,"all","unique",1,0.928265187219742
2,"2011",1,"all","unique",1,1.18031625082314
2,"2012",1,"all","unique",1,1.24928995032306
2,"2013",1,"all","unique",1,1.14138288281457
2,"2014",1,"all","unique",1,NA
2,"2015",1,"all","unique",1,NA
2,"2016",1,"all","unique",1,NA
3,"2000",1,"all","unique",1,NA
3,"2001",1,"all","unique",1,NA
3,"2002",1,"all","unique",1,NA
3,"2003",1,"all","unique",1,NA
3,"2004",1,"all","unique",1,NA
3,"2005",1,"all","unique",1,NA
3,"2006",1,"all","unique",1,NA
3,"2007",1,"all","unique",1,NA
3,"2008",1,"all","unique",1,0.803158134284023
3,"2009",1,"all","unique",1,0.799480807806283
3,"2010",1,"all","unique",1,0.928265187219742
3,"2011",1,"all","unique",1,1.18031625082314
3,"2012",1,"all","unique",1,1.24928995032306
3,"2013",1,"all","unique",1,1.14138288281457
3,"2014",1,"all","unique",1,NA
3,"2015",1,"all","unique",1,NA
3,"2016",1,"all","unique",1,NA
4,"2000",1,"all","unique",1,NA
4,"2001",1,"all","unique",1,NA
4,"2002",1,"all","unique",1,NA
4,"2003",1,"all","unique",1,NA
4,"2004",1,"all","unique",1,NA
4,"2005",1,"all","unique",1,NA
4,"2006",1,"all","unique",1,NA
4,"2007",1,"all","unique",1,NA
4,"2008",1,"all","unique",1,0.803158134284023
4,"2009",1,"all","unique",1,0.799480807806283
4,"2010",1,"all","unique",1,0.928265187219742
4,"2011",1,"all","unique",1,1.18031625082314
4,"2012",1,"all","unique",1,1.24928995032306
4,"2013",1,"all","unique",1,1.14138288281457
4,"2014",1,"all","unique",1,NA
4,"2015",1,"all","unique",1,NA
4,"2016",1,"all","unique",1,NA
5,"2000",1,"all","unique",1,NA
5,"2001",1,"all","unique",1,NA
5,"2002",1,"all","unique",1,NA
5,"2003",1,"all","unique",1,NA
5,"2004",1,"all","unique",1,NA
5,"2005",1,"all","unique",1,NA
5,"2006",1,"all","unique",1,NA
5,"2007",1,"all","unique",1,NA
5,"2008",1,"all","unique",1,0.803158134284023
5,"2009",1,"all","unique",1,0.799480807806283
5,"2010",1,"all","unique",1,0.928265187219742
5,"2011",1,"all","unique",1,1.18031625082314
5,"2012",1,"all","unique",1,1.24928995032306
5,"2013",1,"all","unique",1,1.14138288281457
5,"2014",1,"all","unique",1,NA
5,"2015",1,"all","unique",1,NA
5,"2016",1,"all","unique",1,NA
6,"2000",1,"all","unique",1,NA
6,"2001",1,"all","unique",1,NA
6,"2002",1,"all","unique",1,NA
6,"2003",1,"all","unique",1,NA
6,"2004",1,"all","unique",1,NA
6,"2005",1,"all","unique",1,NA
6,"2006",1,"all","unique",1,NA
6,"2007",1,"all","unique",1,NA
6,"2008",1,"all","unique",1,0.803158134284023
6,"2009",1,"all","unique",1,0.799480807806283
6,"2010",1,"all","unique",1,0.928265187219742
6,"2011",1,"all","unique",1,1.18031625082314
6,"2012",1,"all","unique",1,1.24928995032306
6,"2013",1,"all","unique",1,1.14138288281457
6,"2014",1,"all","unique",1,NA
6,"2015",1,"all","unique",1,NA
6,"2016",1,"all","unique",1,NA
7,"2000",1,"all","unique",1,NA
7,"2001",1,"all","unique",1,NA
