"age","year","unit","season","area","iter","data"
0,"2000",1,"all","unique",1,NA
0,"2001",1,"all","unique",1,NA
0,"2002",1,"all","unique",1,NA
0,"2003",1,"all","unique",1,NA
0,"2004",1,"all","unique",1,NA
0,"2005",1,"all","unique",1,NA
0,"2006",1,"all","unique",1,NA
0,"2007",1,"all","unique",1,NA
0,"2008",1,"all","unique",1,1.32566469465401
0,"2009",1,"all","unique",1,1.1720344507739
0,"2010",1,"all","unique",1,1.13303575573619
0,"2011",1,"all","unique",1,1.13869635709387
0,"2012",1,"all","unique",1,1.4518732082164
0,"2013",1,"all","unique",1,1.60053524085494
0,"2014",1,"all","unique",1,NA
0,"2015",1,"all","unique",1,NA
0,"2016",1,"all","unique",1,NA
1,"2000",1,"all","unique",1,NA
1,"2001",1,"all","unique",1,NA
1,"2002",1,"all","unique",1,NA
1,"2003",1,"all","unique",1,NA
1,"2004",1,"all","unique",1,NA
1,"2005",1,"all","unique",1,NA
1,"2006",1,"all","unique",1,NA
1,"2007",1,"all","unique",1,NA
1,"2008",1,"all","unique",1,1.32566469465401
1,"2009",1,"all","unique",1,1.1720344507739
1,"2010",1,"all","unique",1,1.13303575573619
1,"2011",1,"all","unique",1,1.13869635709387
1,"2012",1,"all","unique",1,1.4518732082164
1,"2013",1,"all","unique",1,1.60053524085494
1,"2014",1,"all","unique",1,NA
1,"2015",1,"all","unique",1,NA
1,"2016",1,"all","unique",1,NA
2,"2000",1,"all","unique",1,NA
2,"2001",1,"all","unique",1,NA
2,"2002",1,"all","unique",1,NA
2,"2003",1,"all","unique",1,NA
2,"2004",1,"all","unique",1,NA
2,"2005",1,"all","unique",1,NA
2,"2006",1,"all","unique",1,NA
2,"2007",1,"all","unique",1,NA
2,"2008",1,"all","unique",1,1.32566469465401
2,"2009",1,"all","unique",1,1.1720344507739
2,"2010",1,"all","unique",1,1.13303575573619
2,"2011",1,"all","unique",1,1.13869635709387
2,"2012",1,"all","unique",1,1.4518732082164
2,"2013",1,"all","unique",1,1.60053524085494
2,"2014",1,"all","unique",1,NA
2,"2015",1,"all","unique",1,NA
2,"2016",1,"all","unique",1,NA
3,"2000",1,"all","unique",1,NA
3,"2001",1,"all","unique",1,NA
3,"2002",1,"all","unique",1,NA
3,"2003",1,"all","unique",1,NA
3,"2004",1,"all","unique",1,NA
3,"2005",1,"all","unique",1,NA
3,"2006",1,"all","unique",1,NA
3,"2007",1,"all","unique",1,NA
3,"2008",1,"all","unique",1,1.32566469465401
3,"2009",1,"all","unique",1,1.1720344507739
3,"2010",1,"all","unique",1,1.13303575573619
3,"2011",1,"all","unique",1,1.13869635709387
3,"2012",1,"all","unique",1,1.4518732082164
3,"2013",1,"all","unique",1,1.60053524085494
3,"2014",1,"all","unique",1,NA
3,"2015",1,"all","unique",1,NA
3,"2016",1,"all","unique",1,NA
4,"2000",1,"all","unique",1,NA
4,"2001",1,"all","unique",1,NA
4,"2002",1,"all","unique",1,NA
4,"2003",1,"all","unique",1,NA
4,"2004",1,"all","unique",1,NA
4,"2005",1,"all","unique",1,NA
4,"2006",1,"all","unique",1,NA
4,"2007",1,"all","unique",1,NA
4,"2008",1,"all","unique",1,1.32566469465401
4,"2009",1,"all","unique",1,1.1720344507739
4,"2010",1,"all","unique",1,1.13303575573619
4,"2011",1,"all","unique",1,1.13869635709387
4,"2012",1,"all","unique",1,1.4518732082164
4,"2013",1,"all","unique",1,1.60053524085494
4,"2014",1,"all","unique",1,NA
4,"2015",1,"all","unique",1,NA
4,"2016",1,"all","unique",1,NA
5,"2000",1,"all","unique",1,NA
5,"2001",1,"all","unique",1,NA
5,"2002",1,"all","unique",1,NA
5,"2003",1,"all","unique",1,NA
5,"2004",1,"all","unique",1,NA
5,"2005",1,"all","unique",1,NA
5,"2006",1,"all","unique",1,NA
5,"2007",1,"all","unique",1,NA
5,"2008",1,"all","unique",1,1.32566469465401
5,"2009",1,"all","unique",1,1.1720344507739
5,"2010",1,"all","unique",1,1.13303575573619
5,"2011",1,"all","unique",1,1.13869635709387
5,"2012",1,"all","unique",1,1.4518732082164
5,"2013",1,"all","unique",1,1.60053524085494
5,"2014",1,"all","unique",1,NA
5,"2015",1,"all","unique",1,NA
5,"2016",1,"all","unique",1,NA
6,"2000",1,"all","unique",1,NA
6,"2001",1,"all","unique",1,NA
6,"2002",1,"all","unique",1,NA
6,"2003",1,"all","unique",1,NA
6,"2004",1,"all","unique",1,NA
6,"2005",1,"all","unique",1,NA
6,"2006",1,"all","unique",1,NA
6,"2007",1,"all","unique",1,NA
6,"2008",1,"all","unique",1,1.32566469465401
6,"2009",1,"all","unique",1,1.1720344507739
6,"2010",1,"all","unique",1,1.13303575573619
6,"2011",1,"all","unique",1,1.13869635709387
6,"2012",1,"all","unique",1,1.4518732082164
6,"2013",1,"all","unique",1,1.60053524085494
6,"2014",1,"all","unique",1,NA
6,"2015",1,"all","unique",1,NA
6,"2016",1,"all","unique",1,NA
7,"2000",1,"all","unique",1,NA
7,"2001",1,"all","unique",1,NA
