"age","year","unit","season","area","iter","data"
"all",2000,"unique","all","unique",1,NA
"all",2001,"unique","all","unique",1,NA
"all",2002,"unique","all","unique",1,NA
"all",2003,"unique","all","unique",1,NA
"all",2004,"unique","all","unique",1,NA
"all",2005,"unique","all","unique",1,NA
"all",2006,"unique","all","unique",1,NA
"all",2007,"unique","all","unique",1,NA
"all",2008,"unique","all","unique",1,NA
"all",2009,"unique","all","unique",1,NA
"all",2010,"unique","all","unique",1,0.460394641199162
"all",2011,"unique","all","unique",1,0.381225747840389
"all",2012,"unique","all","unique",1,0.483213753000116
"all",2013,"unique","all","unique",1,0.404520173446096
"all",2014,"unique","all","unique",1,0.40242249041886
"all",2015,"unique","all","unique",1,0.0512125318861464
"all",2016,"unique","all","unique",1,0.840181402123827
