year,Age_0 ,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8
1993,0.041,0.093,0.277,0.641,0.824,1.804,2.089,2.407,2.647
1994,0.042,0.093,0.29,0.756,1.138,2.36,2.163,2.407,2.647
1995,0.045,0.102,0.295,0.715,1.232,2.174,1.972,2.169,2.386
1996,0.046,0.1,0.313,0.719,1.246,2.046,1.773,1.95,2.145
1997,0.043,0.098,0.287,0.579,0.904,1.144,1.261,1.631,1.794
1998,0.037,0.096,0.274,0.655,0.87,1.005,1.016,1.251,1.376
1999,0.028,0.103,0.265,0.791,0.962,1.148,1.203,1.348,1.483
2000,0.027,0.109,0.306,0.93,1.326,1.548,1.605,1.765,1.942
2001,0.022,0.102,0.312,0.926,1.33,1.634,1.672,1.84,2.024
2002,0.021,0.11,0.312,0.841,1.399,1.676,1.888,2.076,2.284
2003,0.023,0.119,0.275,0.725,1.189,1.601,1.938,2.132,2.345
2004,0.032,0.133,0.248,0.623,1.207,1.662,2.308,2.538,2.792
2005,0.037,0.139,0.252,0.523,1.056,1.587,2.159,2.409,2.65
2006,0.043,0.148,0.265,0.49,0.922,1.417,2.062,2.537,2.79
2007,0.041,0.145,0.282,0.481,0.799,1.313,1.763,2.168,2.385
2008,0.048,0.135,0.267,0.505,0.759,1.148,1.611,1.838,2.022
2009,0.048,0.119,0.252,0.522,0.804,1.252,1.519,1.775,1.952
2010,0.041,0.128,0.256,0.55,0.861,1.331,1.732,2.036,2.24
2011,0.043,0.13,0.251,0.52,0.913,1.439,1.896,2.268,2.495
2012,0.044,0.142,0.263,0.512,0.87,1.445,1.95,2.514,2.765
2013,0.054,0.138,0.281,0.539,0.848,1.348,1.846,2.166,2.383
2014,0.055,0.148,0.315,0.572,0.824,1.251,1.617,1.922,2.115
2015,0.07,0.16,0.32,0.62,0.87,1.15,1.65,1.82,2
2016,0.08,0.17,0.32,0.63,0.93,1.17,1.63,1.79,1.97
