"age","year","unit","season","area","iter","data"
0,2000,1,"all","unique",1,398204
0,2001,1,"all","unique",1,449757
0,2002,1,"all","unique",1,794417
0,2003,1,"all","unique",1,216734
0,2004,1,"all","unique",1,279581
0,2005,1,"all","unique",1,269409
0,2006,1,"all","unique",1,199665
0,2007,1,"all","unique",1,703294
0,2008,1,"all","unique",1,367760
0,2009,1,"all","unique",1,1738552
0,2010,1,"all","unique",1,215775
0,2011,1,"all","unique",1,56642
0,2012,1,"all","unique",1,40546
0,2013,1,"all","unique",1,530150
0,2014,1,"all","unique",1,119004
0,2015,1,"all","unique",1,450962
0,2016,1,"all","unique",1,44344
1,2000,1,"all","unique",1,155728
1,2001,1,"all","unique",1,147963
1,2002,1,"all","unique",1,167119
1,2003,1,"all","unique",1,295187
1,2004,1,"all","unique",1,80533
1,2005,1,"all","unique",1,103886
1,2006,1,"all","unique",1,100106
1,2007,1,"all","unique",1,74191
1,2008,1,"all","unique",1,261328
1,2009,1,"all","unique",1,136651
1,2010,1,"all","unique",1,646006
1,2011,1,"all","unique",1,80177
1,2012,1,"all","unique",1,21047
1,2013,1,"all","unique",1,15066
1,2014,1,"all","unique",1,196992
1,2015,1,"all","unique",1,44219
1,2016,1,"all","unique",1,167567
2,2000,1,"all","unique",1,23690
2,2001,1,"all","unique",1,59807
2,2002,1,"all","unique",1,56052
2,2003,1,"all","unique",1,51665
2,2004,1,"all","unique",1,113749
2,2005,1,"all","unique",1,29589
2,2006,1,"all","unique",1,37732
2,2007,1,"all","unique",1,40439
2,2008,1,"all","unique",1,31179
2,2009,1,"all","unique",1,97773
2,2010,1,"all","unique",1,54164
2,2011,1,"all","unique",1,253350
2,2012,1,"all","unique",1,33084
2,2013,1,"all","unique",1,8315
2,2014,1,"all","unique",1,6116
2,2015,1,"all","unique",1,79079
2,2016,1,"all","unique",1,17807
3,2000,1,"all","unique",1,3435
3,2001,1,"all","unique",1,6865
3,2002,1,"all","unique",1,16705
3,2003,1,"all","unique",1,9054
3,2004,1,"all","unique",1,15110
3,2005,1,"all","unique",1,29257
3,2006,1,"all","unique",1,7378
3,2007,1,"all","unique",1,12531
3,2008,1,"all","unique",1,14939
3,2009,1,"all","unique",1,8421
3,2010,1,"all","unique",1,30850
3,2011,1,"all","unique",1,16609
3,2012,1,"all","unique",1,89097
3,2013,1,"all","unique",1,10349
3,2014,1,"all","unique",1,2798
3,2015,1,"all","unique",1,1997
3,2016,1,"all","unique",1,26042
4,2000,1,"all","unique",1,1997
4,2001,1,"all","unique",1,1086
4,2002,1,"all","unique",1,2090
4,2003,1,"all","unique",1,2907
4,2004,1,"all","unique",1,2888
4,2005,1,"all","unique",1,4228
4,2006,1,"all","unique",1,7932
4,2007,1,"all","unique",1,2680
4,2008,1,"all","unique",1,5074
4,2009,1,"all","unique",1,4394
4,2010,1,"all","unique",1,2903
4,2011,1,"all","unique",1,10329
4,2012,1,"all","unique",1,6396
4,2013,1,"all","unique",1,30444
4,2014,1,"all","unique",1,3810
4,2015,1,"all","unique",1,999
4,2016,1,"all","unique",1,719
5,2000,1,"all","unique",1,2187
5,2001,1,"all","unique",1,677
5,2002,1,"all","unique",1,354
5,2003,1,"all","unique",1,390
5,2004,1,"all","unique",1,995
5,2005,1,"all","unique",1,867
5,2006,1,"all","unique",1,1229
5,2007,1,"all","unique",1,3090
5,2008,1,"all","unique",1,1164
5,2009,1,"all","unique",1,1601
5,2010,1,"all","unique",1,1625
5,2011,1,"all","unique",1,1042
5,2012,1,"all","unique",1,4266
5,2013,1,"all","unique",1,2344
5,2014,1,"all","unique",1,12020
5,2015,1,"all","unique",1,1459
5,2016,1,"all","unique",1,386
6,2000,1,"all","unique",1,459
6,2001,1,"all","unique",1,764
6,2002,1,"all","unique",1,228
6,2003,1,"all","unique",1,68
6,2004,1,"all","unique",1,138
6,2005,1,"all","unique",1,308
6,2006,1,"all","unique",1,260
6,2007,1,"all","unique",1,493
6,2008,1,"all","unique",1,1383
6,2009,1,"all","unique",1,378
6,2010,1,"all","unique",1,610
6,2011,1,"all","unique",1,601
6,2012,1,"all","unique",1,444
6,2013,1,"all","unique",1,1611
6,2014,1,"all","unique",1,954
6,2015,1,"all","unique",1,4742
6,2016,1,"all","unique",1,581
7,2000,1,"all","unique",1,37
7,2001,1,"all","unique",1,165
7,2002,1,"all","unique",1,265
7,2003,1,"all","unique",1,45
7,2004,1,"all","unique",1,25
7,2005,1,"all","unique",1,44
7,2006,1,"all","unique",1,95
7,2007,1,"all","unique",1,107
7,2008,1,"all","unique",1,228
7,2009,1,"all","unique",1,463
7,2010,1,"all","unique",1,149
7,2011,1,"all","unique",1,233
7,2012,1,"all","unique",1,264
7,2013,1,"all","unique",1,173
7,2014,1,"all","unique",1,675
7,2015,1,"all","unique",1,388
7,2016,1,"all","unique",1,1945
8,2000,1,"all","unique",1,14
8,2001,1,"all","unique",1,18
8,2002,1,"all","unique",1,64
8,2003,1,"all","unique",1,66
8,2004,1,"all","unique",1,41
8,2005,1,"all","unique",1,22
8,2006,1,"all","unique",1,21
8,2007,1,"all","unique",1,48
8,2008,1,"all","unique",1,73
8,2009,1,"all","unique",1,102
8,2010,1,"all","unique",1,225
8,2011,1,"all","unique",1,146
8,2012,1,"all","unique",1,169
8,2013,1,"all","unique",1,171
8,2014,1,"all","unique",1,147
8,2015,1,"all","unique",1,339
8,2016,1,"all","unique",1,304
