"age","year","unit","season","area","iter","data"
0,2000,1,"all","unique",1,398204
0,2001,1,"all","unique",1,449757
0,2002,1,"all","unique",1,794417
0,2003,1,"all","unique",1,216734
0,2004,1,"all","unique",1,279581
0,2005,1,"all","unique",1,269409
0,2006,1,"all","unique",1,199665
0,2007,1,"all","unique",1,703294
0,2008,1,"all","unique",1,367760
0,2009,1,"all","unique",1,1738552
0,2010,1,"all","unique",1,215775
0,2011,1,"all","unique",1,56642
0,2012,1,"all","unique",1,40546
0,2013,1,"all","unique",1,530150
0,2014,1,"all","unique",1,119004
0,2015,1,"all","unique",1,450962
0,2016,1,"all","unique",1,44344
