"age","year","unit","season","area","iter","data"
"all",2000,1,"all","unique",1,17306
"all",2001,1,"all","unique",1,29186
"all",2002,1,"all","unique",1,36181
"all",2003,1,"all","unique",1,25237
"all",2004,1,"all","unique",1,43258
"all",2005,1,"all","unique",1,29425
"all",2006,1,"all","unique",1,23503
"all",2007,1,"all","unique",1,24848
"all",2008,1,"all","unique",1,23850
"all",2009,1,"all","unique",1,36168
"all",2010,1,"all","unique",1,37358
"all",2011,1,"all","unique",1,85188
"all",2012,1,"all","unique",1,68042
"all",2013,1,"all","unique",1,40647
"all",2014,1,"all","unique",1,24854
"all",2015,1,"all","unique",1,38298
"all",2016,1,"all","unique",1,28251
