"age","year","unit","season","area","iter","data"
0,2000,1,"all","unique",1,0.027
0,2001,1,"all","unique",1,0.022
0,2002,1,"all","unique",1,0.021
0,2003,1,"all","unique",1,0.023
0,2004,1,"all","unique",1,0.032
0,2005,1,"all","unique",1,0.037
0,2006,1,"all","unique",1,0.043
0,2007,1,"all","unique",1,0.041
0,2008,1,"all","unique",1,0.048
0,2009,1,"all","unique",1,0.048
0,2010,1,"all","unique",1,0.041
0,2011,1,"all","unique",1,0.043
0,2012,1,"all","unique",1,0.044
0,2013,1,"all","unique",1,0.054
0,2014,1,"all","unique",1,0.055
0,2015,1,"all","unique",1,0.07
0,2016,1,"all","unique",1,0.08
1,2000,1,"all","unique",1,0.109
1,2001,1,"all","unique",1,0.102
1,2002,1,"all","unique",1,0.11
1,2003,1,"all","unique",1,0.119
1,2004,1,"all","unique",1,0.133
1,2005,1,"all","unique",1,0.139
1,2006,1,"all","unique",1,0.148
1,2007,1,"all","unique",1,0.145
1,2008,1,"all","unique",1,0.135
1,2009,1,"all","unique",1,0.119
1,2010,1,"all","unique",1,0.128
1,2011,1,"all","unique",1,0.13
1,2012,1,"all","unique",1,0.142
1,2013,1,"all","unique",1,0.138
1,2014,1,"all","unique",1,0.148
1,2015,1,"all","unique",1,0.16
1,2016,1,"all","unique",1,0.17
2,2000,1,"all","unique",1,0.306
2,2001,1,"all","unique",1,0.312
2,2002,1,"all","unique",1,0.312
2,2003,1,"all","unique",1,0.275
2,2004,1,"all","unique",1,0.248
2,2005,1,"all","unique",1,0.252
2,2006,1,"all","unique",1,0.265
2,2007,1,"all","unique",1,0.282
2,2008,1,"all","unique",1,0.267
2,2009,1,"all","unique",1,0.252
2,2010,1,"all","unique",1,0.256
2,2011,1,"all","unique",1,0.251
2,2012,1,"all","unique",1,0.263
2,2013,1,"all","unique",1,0.281
2,2014,1,"all","unique",1,0.315
2,2015,1,"all","unique",1,0.32
2,2016,1,"all","unique",1,0.32
3,2000,1,"all","unique",1,0.93
3,2001,1,"all","unique",1,0.926
3,2002,1,"all","unique",1,0.841
3,2003,1,"all","unique",1,0.725
3,2004,1,"all","unique",1,0.623
3,2005,1,"all","unique",1,0.523
3,2006,1,"all","unique",1,0.49
3,2007,1,"all","unique",1,0.481
3,2008,1,"all","unique",1,0.505
3,2009,1,"all","unique",1,0.522
3,2010,1,"all","unique",1,0.55
3,2011,1,"all","unique",1,0.52
3,2012,1,"all","unique",1,0.512
3,2013,1,"all","unique",1,0.539
3,2014,1,"all","unique",1,0.572
3,2015,1,"all","unique",1,0.62
3,2016,1,"all","unique",1,0.63
4,2000,1,"all","unique",1,1.326
4,2001,1,"all","unique",1,1.33
4,2002,1,"all","unique",1,1.399
4,2003,1,"all","unique",1,1.189
4,2004,1,"all","unique",1,1.207
4,2005,1,"all","unique",1,1.056
4,2006,1,"all","unique",1,0.922
4,2007,1,"all","unique",1,0.799
4,2008,1,"all","unique",1,0.759
4,2009,1,"all","unique",1,0.804
4,2010,1,"all","unique",1,0.861
4,2011,1,"all","unique",1,0.913
4,2012,1,"all","unique",1,0.87
4,2013,1,"all","unique",1,0.848
4,2014,1,"all","unique",1,0.824
4,2015,1,"all","unique",1,0.87
4,2016,1,"all","unique",1,0.93
5,2000,1,"all","unique",1,1.548
5,2001,1,"all","unique",1,1.634
5,2002,1,"all","unique",1,1.676
5,2003,1,"all","unique",1,1.601
5,2004,1,"all","unique",1,1.662
5,2005,1,"all","unique",1,1.587
5,2006,1,"all","unique",1,1.417
5,2007,1,"all","unique",1,1.313
5,2008,1,"all","unique",1,1.148
5,2009,1,"all","unique",1,1.252
5,2010,1,"all","unique",1,1.331
5,2011,1,"all","unique",1,1.439
5,2012,1,"all","unique",1,1.445
5,2013,1,"all","unique",1,1.348
5,2014,1,"all","unique",1,1.251
5,2015,1,"all","unique",1,1.15
5,2016,1,"all","unique",1,1.17
6,2000,1,"all","unique",1,1.605
6,2001,1,"all","unique",1,1.672
6,2002,1,"all","unique",1,1.888
6,2003,1,"all","unique",1,1.938
6,2004,1,"all","unique",1,2.308
6,2005,1,"all","unique",1,2.159
6,2006,1,"all","unique",1,2.062
6,2007,1,"all","unique",1,1.763
6,2008,1,"all","unique",1,1.611
6,2009,1,"all","unique",1,1.519
6,2010,1,"all","unique",1,1.732
6,2011,1,"all","unique",1,1.896
6,2012,1,"all","unique",1,1.95
6,2013,1,"all","unique",1,1.846
6,2014,1,"all","unique",1,1.617
6,2015,1,"all","unique",1,1.65
6,2016,1,"all","unique",1,1.63
7,2000,1,"all","unique",1,1.765
7,2001,1,"all","unique",1,1.84
7,2002,1,"all","unique",1,2.076
7,2003,1,"all","unique",1,2.132
7,2004,1,"all","unique",1,2.538
7,2005,1,"all","unique",1,2.409
7,2006,1,"all","unique",1,2.537
7,2007,1,"all","unique",1,2.168
7,2008,1,"all","unique",1,1.838
7,2009,1,"all","unique",1,1.775
7,2010,1,"all","unique",1,2.036
7,2011,1,"all","unique",1,2.268
7,2012,1,"all","unique",1,2.514
7,2013,1,"all","unique",1,2.166
7,2014,1,"all","unique",1,1.922
7,2015,1,"all","unique",1,1.82
7,2016,1,"all","unique",1,1.79
8,2000,1,"all","unique",1,1.942
8,2001,1,"all","unique",1,2.024
8,2002,1,"all","unique",1,2.284
8,2003,1,"all","unique",1,2.345
8,2004,1,"all","unique",1,2.792
8,2005,1,"all","unique",1,2.65
8,2006,1,"all","unique",1,2.79
8,2007,1,"all","unique",1,2.385
8,2008,1,"all","unique",1,2.022
8,2009,1,"all","unique",1,1.952
8,2010,1,"all","unique",1,2.24
8,2011,1,"all","unique",1,2.495
8,2012,1,"all","unique",1,2.765
8,2013,1,"all","unique",1,2.383
8,2014,1,"all","unique",1,2.115
8,2015,1,"all","unique",1,2
8,2016,1,"all","unique",1,1.97
