year,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8
2003,707.4,0.2,157,508.3,32.6,7,2.4,0.1,0
2004,517.7,0.2,385.7,49.1,70.9,7.9,2.7,1.4,0
2005,310.7,0.2,193.5,85.7,9.9,19.4,1.9,0.3,0
2006,176.9,0.2,110.2,39.7,19,4.5,3.2,0.4,0
2007,670.6,0.2,610.8,38.6,9.9,5.8,2.8,2.7,0
2008,424,0.2,271.5,143.3,5.6,1.6,1.3,0.7,0
2009,1562.4,0.2,1428.4,67.1,62,2.1,1.9,0.8,0
2010,823.4,0.2,89.7,686,33,13.6,0.4,0.8,0
2011,317.8,0.2,69.2,45.3,193.9,7.2,2.1,0.2,0
2012,113.9,0.2,21.4,23.1,13.4,52.4,2.2,1.3,0
2013,705.9,0.2,666,10.5,8.9,5.2,14.3,0.8,0
2014,279.9,0.2,91.3,177.2,2.4,1.9,2.1,5.1,0
2015,476.7,0.2,355.6,74.1,42.7,0.9,1.2,2.2,0
2016,250.4,0.2,38.6,166.8,31.8,12.2,0.7,0.3,0
