"age","year","unit","season","area","iter","data"
0,2000,1,1,"unique",1,0
0,2001,1,1,"unique",1,0
0,2002,1,1,"unique",1,0
0,2003,1,1,"unique",1,644.825
0,2004,1,1,"unique",1,4065.714
0,2005,1,1,"unique",1,53.307
0,2006,1,1,"unique",1,151.823
0,2007,1,1,"unique",1,27.6
0,2008,1,1,"unique",1,478.531
0,2009,1,1,"unique",1,110.199
0,2010,1,1,"unique",1,15.56
0,2011,1,1,"unique",1,199.656
0,2012,1,1,"unique",1,2.559
0,2013,1,1,"unique",1,39.757
0,2014,1,1,"unique",1,3.365
0,2015,1,1,"unique",1,23.602
0,2016,1,1,"unique",1,0.76
1,2000,1,1,"unique",1,0
1,2001,1,1,"unique",1,0
1,2002,1,1,"unique",1,0
1,2003,1,1,"unique",1,973.623
1,2004,1,1,"unique",1,3849.831
1,2005,1,1,"unique",1,316.517
1,2006,1,1,"unique",1,531.424
1,2007,1,1,"unique",1,240.558
1,2008,1,1,"unique",1,1893.065
1,2009,1,1,"unique",1,532.625
1,2010,1,1,"unique",1,1014.785
1,2011,1,1,"unique",1,685.869
1,2012,1,1,"unique",1,440.508
1,2013,1,1,"unique",1,136.478
1,2014,1,1,"unique",1,947.851
1,2015,1,1,"unique",1,354.777
1,2016,1,1,"unique",1,187.828
2,2000,1,1,"unique",1,0
2,2001,1,1,"unique",1,0
2,2002,1,1,"unique",1,0
2,2003,1,1,"unique",1,1321.542
2,2004,1,1,"unique",1,4240.069
2,2005,1,1,"unique",1,567.696
2,2006,1,1,"unique",1,80.147
2,2007,1,1,"unique",1,556.992
2,2008,1,1,"unique",1,1905.058
2,2009,1,1,"unique",1,1133.305
2,2010,1,1,"unique",1,1035.037
2,2011,1,1,"unique",1,836.131
2,2012,1,1,"unique",1,907.635
2,2013,1,1,"unique",1,386.917
2,2014,1,1,"unique",1,240.383
2,2015,1,1,"unique",1,1433.304
2,2016,1,1,"unique",1,715.955
3,2000,1,1,"unique",1,0
3,2001,1,1,"unique",1,0
3,2002,1,1,"unique",1,0
3,2003,1,1,"unique",1,207.136
3,2004,1,1,"unique",1,1843.033
3,2005,1,1,"unique",1,93.34
3,2006,1,1,"unique",1,85.839
3,2007,1,1,"unique",1,245.255
3,2008,1,1,"unique",1,971.14
3,2009,1,1,"unique",1,335.354
3,2010,1,1,"unique",1,665.391
3,2011,1,1,"unique",1,304.187
3,2012,1,1,"unique",1,462.785
3,2013,1,1,"unique",1,110.879
3,2014,1,1,"unique",1,130.959
3,2015,1,1,"unique",1,132.356
3,2016,1,1,"unique",1,369.992
4,2000,1,1,"unique",1,0
4,2001,1,1,"unique",1,0
4,2002,1,1,"unique",1,0
4,2003,1,1,"unique",1,52.545
4,2004,1,1,"unique",1,665.275
4,2005,1,1,"unique",1,40.297
4,2006,1,1,"unique",1,2.15
4,2007,1,1,"unique",1,41.787
4,2008,1,1,"unique",1,220.126
4,2009,1,1,"unique",1,108.9
4,2010,1,1,"unique",1,43.718
4,2011,1,1,"unique",1,34.553
4,2012,1,1,"unique",1,232.937
4,2013,1,1,"unique",1,77.918
4,2014,1,1,"unique",1,41.088
4,2015,1,1,"unique",1,42.192
4,2016,1,1,"unique",1,19.254
5,2000,1,1,"unique",1,0
5,2001,1,1,"unique",1,0
5,2002,1,1,"unique",1,0
5,2003,1,1,"unique",1,4.768
5,2004,1,1,"unique",1,107.752
5,2005,1,1,"unique",1,65.804
5,2006,1,1,"unique",1,11.938
5,2007,1,1,"unique",1,18.16
5,2008,1,1,"unique",1,67.572
5,2009,1,1,"unique",1,14.989
5,2010,1,1,"unique",1,10.118
5,2011,1,1,"unique",1,6.034
5,2012,1,1,"unique",1,39.117
5,2013,1,1,"unique",1,33.189
5,2014,1,1,"unique",1,32.079
5,2015,1,1,"unique",1,2.555
5,2016,1,1,"unique",1,4.147
6,2000,1,1,"unique",1,0
6,2001,1,1,"unique",1,0
6,2002,1,1,"unique",1,0
6,2003,1,1,"unique",1,0.014
6,2004,1,1,"unique",1,0.905
6,2005,1,1,"unique",1,0.199
6,2006,1,1,"unique",1,108.766
6,2007,1,1,"unique",1,8.76
6,2008,1,1,"unique",1,0.154
6,2009,1,1,"unique",1,0.112
6,2010,1,1,"unique",1,7.996
6,2011,1,1,"unique",1,6.939
6,2012,1,1,"unique",1,5.172
6,2013,1,1,"unique",1,0.12
6,2014,1,1,"unique",1,8.823
6,2015,1,1,"unique",1,30.822
6,2016,1,1,"unique",1,2.52
7,2000,1,1,"unique",1,0
7,2001,1,1,"unique",1,0
7,2002,1,1,"unique",1,0
7,2003,1,1,"unique",1,0.001
7,2004,1,1,"unique",1,0.325
7,2005,1,1,"unique",1,0.044
7,2006,1,1,"unique",1,0.794
7,2007,1,1,"unique",1,6.848
7,2008,1,1,"unique",1,0.518
7,2009,1,1,"unique",1,0.079
7,2010,1,1,"unique",1,1.277
7,2011,1,1,"unique",1,4.798
7,2012,1,1,"unique",1,0.022
7,2013,1,1,"unique",1,1.946
7,2014,1,1,"unique",1,0.786
7,2015,1,1,"unique",1,0.043
7,2016,1,1,"unique",1,3.183
8,2000,1,1,"unique",1,0
8,2001,1,1,"unique",1,0
8,2002,1,1,"unique",1,0
8,2003,1,1,"unique",1,0.001
8,2004,1,1,"unique",1,0.001
8,2005,1,1,"unique",1,0
8,2006,1,1,"unique",1,0.552
8,2007,1,1,"unique",1,9.188
8,2008,1,1,"unique",1,0.303
8,2009,1,1,"unique",1,0.248
8,2010,1,1,"unique",1,0.074
8,2011,1,1,"unique",1,0
8,2012,1,1,"unique",1,0.007
8,2013,1,1,"unique",1,0.042
8,2014,1,1,"unique",1,0
8,2015,1,1,"unique",1,0.076
8,2016,1,1,"unique",1,0.001
9,2000,1,1,"unique",1,0
9,2001,1,1,"unique",1,0
9,2002,1,1,"unique",1,0
9,2003,1,1,"unique",1,0
9,2004,1,1,"unique",1,0
9,2005,1,1,"unique",1,0
9,2006,1,1,"unique",1,0.029
9,2007,1,1,"unique",1,0
9,2008,1,1,"unique",1,0.053
9,2009,1,1,"unique",1,0.224
9,2010,1,1,"unique",1,0.047
9,2011,1,1,"unique",1,0
9,2012,1,1,"unique",1,0
9,2013,1,1,"unique",1,0
9,2014,1,1,"unique",1,0
9,2015,1,1,"unique",1,0
9,2016,1,1,"unique",1,0
10,2000,1,1,"unique",1,0
10,2001,1,1,"unique",1,0
10,2002,1,1,"unique",1,0
10,2003,1,1,"unique",1,0
10,2004,1,1,"unique",1,0
10,2005,1,1,"unique",1,0
10,2006,1,1,"unique",1,0
10,2007,1,1,"unique",1,0
10,2008,1,1,"unique",1,0.004
10,2009,1,1,"unique",1,0.077
10,2010,1,1,"unique",1,0.093
10,2011,1,1,"unique",1,0
10,2012,1,1,"unique",1,0
10,2013,1,1,"unique",1,0
10,2014,1,1,"unique",1,0
10,2015,1,1,"unique",1,0
10,2016,1,1,"unique",1,0
11,2000,1,1,"unique",1,0
11,2001,1,1,"unique",1,0
11,2002,1,1,"unique",1,0
11,2003,1,1,"unique",1,0
11,2004,1,1,"unique",1,0
11,2005,1,1,"unique",1,0
11,2006,1,1,"unique",1,0
11,2007,1,1,"unique",1,0
11,2008,1,1,"unique",1,0
11,2009,1,1,"unique",1,0.009
11,2010,1,1,"unique",1,0.019
11,2011,1,1,"unique",1,0
11,2012,1,1,"unique",1,0.003
11,2013,1,1,"unique",1,0
11,2014,1,1,"unique",1,0
11,2015,1,1,"unique",1,0
11,2016,1,1,"unique",1,0
