"age","year","unit","season","area","iter","data"
0,2000,1,1,"unique",1,0
0,2001,1,1,"unique",1,0
0,2002,1,1,"unique",1,0
0,2003,1,1,"unique",1,0
0,2004,1,1,"unique",1,0
0,2005,1,1,"unique",1,0
0,2006,1,1,"unique",1,0
0,2007,1,1,"unique",1,0
0,2008,1,1,"unique",1,0
0,2009,1,1,"unique",1,0
0,2010,1,1,"unique",1,0
0,2011,1,1,"unique",1,0
0,2012,1,1,"unique",1,0
0,2013,1,1,"unique",1,0
0,2014,1,1,"unique",1,0
0,2015,1,1,"unique",1,0
0,2016,1,1,"unique",1,0
1,2000,1,1,"unique",1,0
1,2001,1,1,"unique",1,0
1,2002,1,1,"unique",1,0
1,2003,1,1,"unique",1,29.824
1,2004,1,1,"unique",1,80.094
1,2005,1,1,"unique",1,88.96
1,2006,1,1,"unique",1,43.046
1,2007,1,1,"unique",1,118.696
1,2008,1,1,"unique",1,30.674
1,2009,1,1,"unique",1,35.371
1,2010,1,1,"unique",1,103.148
1,2011,1,1,"unique",1,26.374
1,2012,1,1,"unique",1,18.491
1,2013,1,1,"unique",1,6.04
1,2014,1,1,"unique",1,178.072
1,2015,1,1,"unique",1,2.798
1,2016,1,1,"unique",1,5.54
2,2000,1,1,"unique",1,0
2,2001,1,1,"unique",1,0
2,2002,1,1,"unique",1,0
2,2003,1,1,"unique",1,115.821
2,2004,1,1,"unique",1,45.448
2,2005,1,1,"unique",1,65.084
2,2006,1,1,"unique",1,106.394
2,2007,1,1,"unique",1,98.871
2,2008,1,1,"unique",1,97.014
2,2009,1,1,"unique",1,62.276
2,2010,1,1,"unique",1,55.814
2,2011,1,1,"unique",1,227.924
2,2012,1,1,"unique",1,62.353
2,2013,1,1,"unique",1,17.357
2,2014,1,1,"unique",1,50.757
2,2015,1,1,"unique",1,211.954
2,2016,1,1,"unique",1,12.09
3,2000,1,1,"unique",1,0
3,2001,1,1,"unique",1,0
3,2002,1,1,"unique",1,0
3,2003,1,1,"unique",1,114.968
3,2004,1,1,"unique",1,26.409
3,2005,1,1,"unique",1,29.663
3,2006,1,1,"unique",1,34.197
3,2007,1,1,"unique",1,31.548
3,2008,1,1,"unique",1,23.378
3,2009,1,1,"unique",1,55.789
3,2010,1,1,"unique",1,13.087
3,2011,1,1,"unique",1,19.506
3,2012,1,1,"unique",1,80.894
3,2013,1,1,"unique",1,28.956
3,2014,1,1,"unique",1,8.018
3,2015,1,1,"unique",1,17.146
3,2016,1,1,"unique",1,44.347
4,2000,1,1,"unique",1,0
4,2001,1,1,"unique",1,0
4,2002,1,1,"unique",1,0
4,2003,1,1,"unique",1,10.038
4,2004,1,1,"unique",1,5.124
4,2005,1,1,"unique",1,12.778
4,2006,1,1,"unique",1,1.821
4,2007,1,1,"unique",1,6.948
4,2008,1,1,"unique",1,6.344
4,2009,1,1,"unique",1,18.887
4,2010,1,1,"unique",1,9.414
4,2011,1,1,"unique",1,2.414
4,2012,1,1,"unique",1,3.65
4,2013,1,1,"unique",1,27.006
4,2014,1,1,"unique",1,12.64
4,2015,1,1,"unique",1,3.364
4,2016,1,1,"unique",1,2.291
5,2000,1,1,"unique",1,0
5,2001,1,1,"unique",1,0
5,2002,1,1,"unique",1,0
5,2003,1,1,"unique",1,0.53
5,2004,1,1,"unique",1,0.415
5,2005,1,1,"unique",1,3.111
5,2006,1,1,"unique",1,1.256
5,2007,1,1,"unique",1,1.007
5,2008,1,1,"unique",1,1.168
5,2009,1,1,"unique",1,6.249
5,2010,1,1,"unique",1,4.638
5,2011,1,1,"unique",1,1.789
5,2012,1,1,"unique",1,0.123
5,2013,1,1,"unique",1,1.694
5,2014,1,1,"unique",1,10.721
5,2015,1,1,"unique",1,5.877
5,2016,1,1,"unique",1,0.407
6,2000,1,1,"unique",1,0
6,2001,1,1,"unique",1,0
6,2002,1,1,"unique",1,0
6,2003,1,1,"unique",1,0.25
6,2004,1,1,"unique",1,0.019
6,2005,1,1,"unique",1,0.835
6,2006,1,1,"unique",1,1.115
6,2007,1,1,"unique",1,0.13
6,2008,1,1,"unique",1,0.172
6,2009,1,1,"unique",1,1.077
6,2010,1,1,"unique",1,1.474
6,2011,1,1,"unique",1,1.087
6,2012,1,1,"unique",1,0.743
6,2013,1,1,"unique",1,0.221
6,2014,1,1,"unique",1,0.747
6,2015,1,1,"unique",1,4.02
6,2016,1,1,"unique",1,0.584
7,2000,1,1,"unique",1,0
7,2001,1,1,"unique",1,0
7,2002,1,1,"unique",1,0
7,2003,1,1,"unique",1,0.054
7,2004,1,1,"unique",1,0.005
7,2005,1,1,"unique",1,0.278
7,2006,1,1,"unique",1,0.006
7,2007,1,1,"unique",1,0.035
7,2008,1,1,"unique",1,0.024
7,2009,1,1,"unique",1,0.127
7,2010,1,1,"unique",1,0.353
7,2011,1,1,"unique",1,0.135
7,2012,1,1,"unique",1,0
7,2013,1,1,"unique",1,0.067
7,2014,1,1,"unique",1,0
7,2015,1,1,"unique",1,1.209
7,2016,1,1,"unique",1,1.043
8,2000,1,1,"unique",1,0
8,2001,1,1,"unique",1,0
8,2002,1,1,"unique",1,0
8,2003,1,1,"unique",1,0.017
8,2004,1,1,"unique",1,0.012
8,2005,1,1,"unique",1,0.009
8,2006,1,1,"unique",1,0.27
8,2007,1,1,"unique",1,0.078
8,2008,1,1,"unique",1,0
8,2009,1,1,"unique",1,0.066
8,2010,1,1,"unique",1,0.189
8,2011,1,1,"unique",1,0.002
8,2012,1,1,"unique",1,0.01
8,2013,1,1,"unique",1,0.01
8,2014,1,1,"unique",1,0
8,2015,1,1,"unique",1,0
8,2016,1,1,"unique",1,0
9,2000,1,1,"unique",1,0
9,2001,1,1,"unique",1,0
9,2002,1,1,"unique",1,0
9,2003,1,1,"unique",1,0
9,2004,1,1,"unique",1,0.004
9,2005,1,1,"unique",1,0
9,2006,1,1,"unique",1,0.001
9,2007,1,1,"unique",1,0
9,2008,1,1,"unique",1,0.055
9,2009,1,1,"unique",1,0
9,2010,1,1,"unique",1,0
9,2011,1,1,"unique",1,0.001
9,2012,1,1,"unique",1,0
9,2013,1,1,"unique",1,0
9,2014,1,1,"unique",1,0
9,2015,1,1,"unique",1,0
9,2016,1,1,"unique",1,0
10,2000,1,1,"unique",1,0
10,2001,1,1,"unique",1,0
10,2002,1,1,"unique",1,0
10,2003,1,1,"unique",1,0
10,2004,1,1,"unique",1,0
10,2005,1,1,"unique",1,0
10,2006,1,1,"unique",1,0.001
10,2007,1,1,"unique",1,0
10,2008,1,1,"unique",1,0.012
10,2009,1,1,"unique",1,0.101
10,2010,1,1,"unique",1,0
10,2011,1,1,"unique",1,0
10,2012,1,1,"unique",1,0
10,2013,1,1,"unique",1,0
10,2014,1,1,"unique",1,0
10,2015,1,1,"unique",1,0
10,2016,1,1,"unique",1,0
11,2000,1,1,"unique",1,0
11,2001,1,1,"unique",1,0
11,2002,1,1,"unique",1,0
11,2003,1,1,"unique",1,0
11,2004,1,1,"unique",1,0
11,2005,1,1,"unique",1,0
11,2006,1,1,"unique",1,0.001
11,2007,1,1,"unique",1,0
11,2008,1,1,"unique",1,0
11,2009,1,1,"unique",1,0
11,2010,1,1,"unique",1,0
11,2011,1,1,"unique",1,0
11,2012,1,1,"unique",1,0
11,2013,1,1,"unique",1,0
11,2014,1,1,"unique",1,0
11,2015,1,1,"unique",1,0
11,2016,1,1,"unique",1,0
