"country","year","vessel.length","species","regulated.gear","fishing.tech","fleets","age","type","value"
"OTH",2003,"O10M","COD","TR2","DTS","OTH_DTS_O10M","age0","d",0
"OTH",2003,"O10M","WHG","TR2","DTS","OTH_DTS_O10M","age0","d",9.431
"OTH",2004,"O10M","COD","TR2","DTS","OTH_DTS_O10M","age0","d",0
"OTH",2004,"O10M","HAD","TR2","DTS","OTH_DTS_O10M","age0","d",2.474
"OTH",2004,"O10M","WHG","TR2","DTS","OTH_DTS_O10M","age0","d",188.266
"OTH",2005,"O10M","COD","TR2","DTS","OTH_DTS_O10M","age0","d",0
"OTH",2005,"O10M","HAD","TR2","DTS","OTH_DTS_O10M","age0","d",12.815
"OTH",2005,"O10M","WHG","TR2","DTS","OTH_DTS_O10M","age0","d",23.047
"OTH",2006,"O10M","COD","TR2","DTS","OTH_DTS_O10M","age0","d",0
"OTH",2006,"O10M","HAD","TR2","DTS","OTH_DTS_O10M","age0","d",21.492
"OTH",2006,"O10M","WHG","TR2","DTS","OTH_DTS_O10M","age0","d",30.693
"OTH",2007,"O10M","COD","TR2","DTS","OTH_DTS_O10M","age0","d",0
"OTH",2007,"O10M","HAD","TR2","DTS","OTH_DTS_O10M","age0","d",25.074
"OTH",2007,"O10M","WHG","TR2","DTS","OTH_DTS_O10M","age0","d",42.741
"OTH",2008,"O10M","COD","TR2","DTS","OTH_DTS_O10M","age0","d",0
"OTH",2008,"O10M","HAD","TR2","DTS","OTH_DTS_O10M","age0","d",17.725
"OTH",2008,"O10M","WHG","TR2","DTS","OTH_DTS_O10M","age0","d",71.507
"OTH",2009,"O10M","COD","TR2","DTS","OTH_DTS_O10M","age0","d",0.24
"OTH",2009,"O10M","HAD","TR2","DTS","OTH_DTS_O10M","age0","d",40.916
"OTH",2009,"O10M","WHG","TR2","DTS","OTH_DTS_O10M","age0","d",34.755
"OTH",2010,"O10M","COD","TR2","DTS","OTH_DTS_O10M","age0","d",0.345
"OTH",2010,"O10M","HAD","TR1","DTS","OTH_DTS_O10M","age0","d",4.166
"OTH",2010,"O10M","HAD","TR2","DTS","OTH_DTS_O10M","age0","d",16.82
"OTH",2010,"O10M","WHG","TR1","DTS","OTH_DTS_O10M","age0","d",0.105
"OTH",2010,"O10M","WHG","TR2","DTS","OTH_DTS_O10M","age0","d",4.201
"OTH",2011,"O10M","COD","TR1","DTS","OTH_DTS_O10M","age0","d",0
"OTH",2011,"O10M","COD","TR2","DTS","OTH_DTS_O10M","age0","d",0
"OTH",2011,"O10M","HAD","TR1","DTS","OTH_DTS_O10M","age0","d",2.27
"OTH",2011,"O10M","HAD","TR2","DTS","OTH_DTS_O10M","age0","d",17.577
"OTH",2011,"O10M","WHG","TR1","DTS","OTH_DTS_O10M","age0","d",3.123
"OTH",2011,"O10M","WHG","TR2","DTS","OTH_DTS_O10M","age0","d",81.691
"OTH",2012,"O10M","COD","TR2","DTS","OTH_DTS_O10M","age0","d",0
"OTH",2012,"O10M","HAD","TR1","DTS","OTH_DTS_O10M","age0","d",0
"OTH",2012,"O10M","HAD","TR2","DTS","OTH_DTS_O10M","age0","d",0.237
"OTH",2012,"O10M","WHG","TR1","DTS","OTH_DTS_O10M","age0","d",0.263
"OTH",2012,"O10M","WHG","TR2","DTS","OTH_DTS_O10M","age0","d",1.504
