"age","year","unit","season","area","iter","data"
0,2007,1,1,"unique",1,986692000
0,2008,1,1,"unique",1,1301691000
0,2009,1,1,"unique",1,1897256000
0,2010,1,1,"unique",1,829944000
0,2011,1,1,"unique",1,855666000
0,2012,1,1,"unique",1,634499000
0,2013,1,1,"unique",1,2097669000
0,2014,1,1,"unique",1,637380000
0,2015,1,1,"unique",1,808397000
0,2016,1,1,"unique",1,749497000
1,2007,1,1,"unique",1,228997000
1,2008,1,1,"unique",1,291301000
1,2009,1,1,"unique",1,384298000
1,2010,1,1,"unique",1,560127000
1,2011,1,1,"unique",1,245024000
1,2012,1,1,"unique",1,252618000
1,2013,1,1,"unique",1,187323000
1,2014,1,1,"unique",1,619295000
1,2015,1,1,"unique",1,188174000
1,2016,1,1,"unique",1,238663000
2,2007,1,1,"unique",1,92809000
2,2008,1,1,"unique",1,87281000
2,2009,1,1,"unique",1,117887000
2,2010,1,1,"unique",1,157387000
2,2011,1,1,"unique",1,234420000
2,2012,1,1,"unique",1,100633000
2,2013,1,1,"unique",1,103386000
2,2014,1,1,"unique",1,78568000
2,2015,1,1,"unique",1,253528000
2,2016,1,1,"unique",1,76917000
3,2007,1,1,"unique",1,28979000
3,2008,1,1,"unique",1,22341000
3,2009,1,1,"unique",1,35973000
3,2010,1,1,"unique",1,46485000
3,2011,1,1,"unique",1,73066000
3,2012,1,1,"unique",1,116434000
3,2013,1,1,"unique",1,47722000
3,2014,1,1,"unique",1,49001000
3,2015,1,1,"unique",1,36878000
3,2016,1,1,"unique",1,113987000
4,2007,1,1,"unique",1,9993000
4,2008,1,1,"unique",1,8029000
4,2009,1,1,"unique",1,8586000
4,2010,1,1,"unique",1,15642000
4,2011,1,1,"unique",1,20072000
4,2012,1,1,"unique",1,37868000
4,2013,1,1,"unique",1,62828000
4,2014,1,1,"unique",1,23368000
4,2015,1,1,"unique",1,24084000
4,2016,1,1,"unique",1,15669000
5,2007,1,1,"unique",1,2758000
5,2008,1,1,"unique",1,2229000
5,2009,1,1,"unique",1,2569000
5,2010,1,1,"unique",1,3445000
5,2011,1,1,"unique",1,6335000
5,2012,1,1,"unique",1,8650000
5,2013,1,1,"unique",1,20134000
5,2014,1,1,"unique",1,32151000
5,2015,1,1,"unique",1,10119000
5,2016,1,1,"unique",1,9574000
6,2007,1,1,"unique",1,890000
6,2008,1,1,"unique",1,697000
6,2009,1,1,"unique",1,791000
6,2010,1,1,"unique",1,1091000
6,2011,1,1,"unique",1,1326000
6,2012,1,1,"unique",1,2823000
6,2013,1,1,"unique",1,4385000
6,2014,1,1,"unique",1,9911000
6,2015,1,1,"unique",1,15050000
6,2016,1,1,"unique",1,4638000
7,2007,1,1,"unique",1,818000
7,2008,1,1,"unique",1,217000
7,2009,1,1,"unique",1,814000
7,2010,1,1,"unique",1,417000
7,2011,1,1,"unique",1,310000
7,2012,1,1,"unique",1,640000
7,2013,1,1,"unique",1,997000
7,2014,1,1,"unique",1,1695000
7,2015,1,1,"unique",1,2736000
7,2016,1,1,"unique",1,7592000
