"age","year","unit","season","area","iter","data"
0,2007,1,1,"unique",1,0.0259
0,2008,1,1,"unique",1,0.0139
0,2009,1,1,"unique",1,0.0119
0,2010,1,1,"unique",1,0.018
0,2011,1,1,"unique",1,0.0123
0,2012,1,1,"unique",1,0.0211
0,2013,1,1,"unique",1,0.0327
0,2014,1,1,"unique",1,0.0232
0,2015,1,1,"unique",1,0.0063
0,2016,1,1,"unique",1,0.0516
1,2007,1,1,"unique",1,0.0636
1,2008,1,1,"unique",1,0.0677
1,2009,1,1,"unique",1,0.0575
1,2010,1,1,"unique",1,0.0553
1,2011,1,1,"unique",1,0.0659
1,2012,1,1,"unique",1,0.0482
1,2013,1,1,"unique",1,0.071
1,2014,1,1,"unique",1,0.087
1,2015,1,1,"unique",1,0.0622
1,2016,1,1,"unique",1,0.0518
2,2007,1,1,"unique",1,0.1577
2,2008,1,1,"unique",1,0.1612
2,2009,1,1,"unique",1,0.1502
2,2010,1,1,"unique",1,0.1631
2,2011,1,1,"unique",1,0.1688
2,2012,1,1,"unique",1,0.1684
2,2013,1,1,"unique",1,0.1412
2,2014,1,1,"unique",1,0.182
2,2015,1,1,"unique",1,0.1767
2,2016,1,1,"unique",1,0.1486
3,2007,1,1,"unique",1,0.2768
3,2008,1,1,"unique",1,0.2788
3,2009,1,1,"unique",1,0.2908
3,2010,1,1,"unique",1,0.2946
3,2011,1,1,"unique",1,0.3179
3,2012,1,1,"unique",1,0.332
3,2013,1,1,"unique",1,0.2835
3,2014,1,1,"unique",1,0.2877
3,2015,1,1,"unique",1,0.309
3,2016,1,1,"unique",1,0.2807
4,2007,1,1,"unique",1,0.4379
4,2008,1,1,"unique",1,0.437
4,2009,1,1,"unique",1,0.4604
4,2010,1,1,"unique",1,0.4704
4,2011,1,1,"unique",1,0.5077
4,2012,1,1,"unique",1,0.5366
4,2013,1,1,"unique",1,0.5258
4,2014,1,1,"unique",1,0.4449
4,2015,1,1,"unique",1,0.4767
4,2016,1,1,"unique",1,0.4655
5,2007,1,1,"unique",1,0.5877
5,2008,1,1,"unique",1,0.5582
5,2009,1,1,"unique",1,0.585
5,2010,1,1,"unique",1,0.6108
5,2011,1,1,"unique",1,0.6739
5,2012,1,1,"unique",1,0.704
5,2013,1,1,"unique",1,0.6762
5,2014,1,1,"unique",1,0.6304
5,2015,1,1,"unique",1,0.6562
5,2016,1,1,"unique",1,0.6261
6,2007,1,1,"unique",1,0.5982
6,2008,1,1,"unique",1,0.7076
6,2009,1,1,"unique",1,0.6571
6,2010,1,1,"unique",1,0.7296
6,2011,1,1,"unique",1,0.8049
6,2012,1,1,"unique",1,0.8856
6,2013,1,1,"unique",1,0.8599
6,2014,1,1,"unique",1,0.731
6,2015,1,1,"unique",1,0.6666
6,2016,1,1,"unique",1,0.7615
7,2007,1,1,"unique",1,0.6382
7,2008,1,1,"unique",1,0.8298
7,2009,1,1,"unique",1,0.9506
7,2010,1,1,"unique",1,0.8356
7,2011,1,1,"unique",1,1.2106
7,2012,1,1,"unique",1,1.0881
7,2013,1,1,"unique",1,0.8644
7,2014,1,1,"unique",1,1.0072
7,2015,1,1,"unique",1,0.9295
7,2016,1,1,"unique",1,0.7836
