year,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7
2007,0,0.105,0.774,0.783,1.071,0.976,0.633,0.633
2008,0,0.045,0.236,0.456,0.71,0.636,0.467,0.467
2009,0,0.033,0.281,0.333,0.483,0.456,0.348,0.348
2010,0,0.011,0.117,0.34,0.474,0.555,0.341,0.341
2011,0,0.03,0.05,0.157,0.412,0.408,0.392,0.392
2012,0,0.033,0.096,0.117,0.202,0.279,0.244,0.244
2013,0,0.009,0.097,0.214,0.24,0.309,0.299,0.299
2014,0,0.033,0.106,0.21,0.407,0.359,0.285,0.285
2015,0,0.035,0.149,0.356,0.493,0.38,0.429,0.429
2016,0,0.066,0.239,0.41,0.557,0.513,0.36,0.36
