year,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7
2007,986692,228997,92809,28979,9993,2758,890,818
2008,1301691,291301,87281,22341,8029,2229,697,217
2009,1897256,384298,117887,35973,8586,2569,791,814
2010,829944,560127,157387,46485,15642,3445,1091,417
2011,855666,245024,234420,73066,20072,6335,1326,310
2012,634499,252618,100633,116434,37868,8650,2823,640
2013,2097669,187323,103386,47722,62828,20134,4385,997
2014,637380,619295,78568,49001,23368,32151,9911,1695
2015,808397,188174,253528,36878,24084,10119,15050,2736
2016,749497,238663,76917,113987,15669,9574,4638,7592
