"age","year","unit","season","area","iter","data"
0,2000,1,"all","unique",1,NA
0,2001,1,"all","unique",1,NA
0,2002,1,"all","unique",1,NA
0,2003,1,"all","unique",1,NA
0,2004,1,"all","unique",1,NA
0,2005,1,"all","unique",1,NA
0,2006,1,"all","unique",1,NA
0,2007,1,"all","unique",1,986692
0,2008,1,"all","unique",1,1301691
0,2009,1,"all","unique",1,1897256
0,2010,1,"all","unique",1,829944
0,2011,1,"all","unique",1,855666
0,2012,1,"all","unique",1,634499
0,2013,1,"all","unique",1,2097669
0,2014,1,"all","unique",1,637380
0,2015,1,"all","unique",1,808397
0,2016,1,"all","unique",1,749497
1,2000,1,"all","unique",1,NA
1,2001,1,"all","unique",1,NA
1,2002,1,"all","unique",1,NA
1,2003,1,"all","unique",1,NA
1,2004,1,"all","unique",1,NA
1,2005,1,"all","unique",1,NA
1,2006,1,"all","unique",1,NA
1,2007,1,"all","unique",1,228997
1,2008,1,"all","unique",1,291301
1,2009,1,"all","unique",1,384298
1,2010,1,"all","unique",1,560127
1,2011,1,"all","unique",1,245024
1,2012,1,"all","unique",1,252618
1,2013,1,"all","unique",1,187323
1,2014,1,"all","unique",1,619295
1,2015,1,"all","unique",1,188174
1,2016,1,"all","unique",1,238663
2,2000,1,"all","unique",1,NA
2,2001,1,"all","unique",1,NA
2,2002,1,"all","unique",1,NA
2,2003,1,"all","unique",1,NA
2,2004,1,"all","unique",1,NA
2,2005,1,"all","unique",1,NA
2,2006,1,"all","unique",1,NA
2,2007,1,"all","unique",1,92809
2,2008,1,"all","unique",1,87281
2,2009,1,"all","unique",1,117887
2,2010,1,"all","unique",1,157387
2,2011,1,"all","unique",1,234420
2,2012,1,"all","unique",1,100633
2,2013,1,"all","unique",1,103386
2,2014,1,"all","unique",1,78568
2,2015,1,"all","unique",1,253528
2,2016,1,"all","unique",1,76917
3,2000,1,"all","unique",1,NA
3,2001,1,"all","unique",1,NA
3,2002,1,"all","unique",1,NA
3,2003,1,"all","unique",1,NA
3,2004,1,"all","unique",1,NA
3,2005,1,"all","unique",1,NA
3,2006,1,"all","unique",1,NA
3,2007,1,"all","unique",1,28979
3,2008,1,"all","unique",1,22341
3,2009,1,"all","unique",1,35973
3,2010,1,"all","unique",1,46485
3,2011,1,"all","unique",1,73066
3,2012,1,"all","unique",1,116434
3,2013,1,"all","unique",1,47722
3,2014,1,"all","unique",1,49001
3,2015,1,"all","unique",1,36878
3,2016,1,"all","unique",1,113987
4,2000,1,"all","unique",1,NA
4,2001,1,"all","unique",1,NA
4,2002,1,"all","unique",1,NA
4,2003,1,"all","unique",1,NA
4,2004,1,"all","unique",1,NA
4,2005,1,"all","unique",1,NA
4,2006,1,"all","unique",1,NA
4,2007,1,"all","unique",1,9993
4,2008,1,"all","unique",1,8029
4,2009,1,"all","unique",1,8586
4,2010,1,"all","unique",1,15642
4,2011,1,"all","unique",1,20072
4,2012,1,"all","unique",1,37868
4,2013,1,"all","unique",1,62828
4,2014,1,"all","unique",1,23368
4,2015,1,"all","unique",1,24084
4,2016,1,"all","unique",1,15669
5,2000,1,"all","unique",1,NA
5,2001,1,"all","unique",1,NA
5,2002,1,"all","unique",1,NA
5,2003,1,"all","unique",1,NA
5,2004,1,"all","unique",1,NA
5,2005,1,"all","unique",1,NA
5,2006,1,"all","unique",1,NA
5,2007,1,"all","unique",1,2758
5,2008,1,"all","unique",1,2229
5,2009,1,"all","unique",1,2569
5,2010,1,"all","unique",1,3445
5,2011,1,"all","unique",1,6335
5,2012,1,"all","unique",1,8650
5,2013,1,"all","unique",1,20134
5,2014,1,"all","unique",1,32151
5,2015,1,"all","unique",1,10119
5,2016,1,"all","unique",1,9574
6,2000,1,"all","unique",1,NA
6,2001,1,"all","unique",1,NA
6,2002,1,"all","unique",1,NA
6,2003,1,"all","unique",1,NA
6,2004,1,"all","unique",1,NA
6,2005,1,"all","unique",1,NA
6,2006,1,"all","unique",1,NA
6,2007,1,"all","unique",1,890
6,2008,1,"all","unique",1,697
6,2009,1,"all","unique",1,791
6,2010,1,"all","unique",1,1091
6,2011,1,"all","unique",1,1326
6,2012,1,"all","unique",1,2823
6,2013,1,"all","unique",1,4385
6,2014,1,"all","unique",1,9911
6,2015,1,"all","unique",1,15050
6,2016,1,"all","unique",1,4638
7,2000,1,"all","unique",1,NA
7,2001,1,"all","unique",1,NA
7,2002,1,"all","unique",1,NA
7,2003,1,"all","unique",1,NA
7,2004,1,"all","unique",1,NA
7,2005,1,"all","unique",1,NA
7,2006,1,"all","unique",1,NA
7,2007,1,"all","unique",1,818
7,2008,1,"all","unique",1,217
7,2009,1,"all","unique",1,814
7,2010,1,"all","unique",1,417
7,2011,1,"all","unique",1,310
7,2012,1,"all","unique",1,640
7,2013,1,"all","unique",1,997
7,2014,1,"all","unique",1,1695
7,2015,1,"all","unique",1,2736
7,2016,1,"all","unique",1,7592
