"age","year","unit","season","area","iter","data"
0,2000,1,"all","unique",1,1357759
0,2001,1,"all","unique",1,623570
0,2002,1,"all","unique",1,717424
0,2003,1,"all","unique",1,971252
0,2004,1,"all","unique",1,988436
0,2005,1,"all","unique",1,897849
0,2006,1,"all","unique",1,775656
0,2007,1,"all","unique",1,986692
0,2008,1,"all","unique",1,1301691
0,2009,1,"all","unique",1,1897256
0,2010,1,"all","unique",1,829944
0,2011,1,"all","unique",1,855666
0,2012,1,"all","unique",1,634499
0,2013,1,"all","unique",1,2097669
0,2014,1,"all","unique",1,637380
0,2015,1,"all","unique",1,808397
0,2016,1,"all","unique",1,749497
