"age","year","unit","season","area","iter","data"
"all",2000,1,"all","unique",1,42405
"all",2001,1,"all","unique",1,50581
"all",2002,1,"all","unique",1,57285
"all",2003,1,"all","unique",1,44974
"all",2004,1,"all","unique",1,38920
"all",2005,1,"all","unique",1,40600
"all",2006,1,"all","unique",1,34313
"all",2007,1,"all","unique",1,29709
"all",2008,1,"all","unique",1,25724
"all",2009,1,"all","unique",1,34918
"all",2010,1,"all","unique",1,49971
"all",2011,1,"all","unique",1,78700
"all",2012,1,"all","unique",1,85208
"all",2013,1,"all","unique",1,79409
"all",2014,1,"all","unique",1,68013
"all",2015,1,"all","unique",1,86890
"all",2016,1,"all","unique",1,66195
