"age","year","unit","season","area","iter","data"
0,2000,1,"all","unique",1,1
0,2001,1,"all","unique",1,1
0,2002,1,"all","unique",1,1
0,2003,1,"all","unique",1,1
0,2004,1,"all","unique",1,1
0,2005,1,"all","unique",1,1
0,2006,1,"all","unique",1,1
0,2007,1,"all","unique",1,1
0,2008,1,"all","unique",1,1
0,2009,1,"all","unique",1,1
0,2010,1,"all","unique",1,1
0,2011,1,"all","unique",1,1
0,2012,1,"all","unique",1,1
0,2013,1,"all","unique",1,1
0,2014,1,"all","unique",1,1
0,2015,1,"all","unique",1,1
0,2016,1,"all","unique",1,1
0,2017,1,"all","unique",1,1
0,2018,1,"all","unique",1,1
0,2019,1,"all","unique",1,1
0,2020,1,"all","unique",1,1
0,2021,1,"all","unique",1,1
0,2022,1,"all","unique",1,1
0,2023,1,"all","unique",1,1
0,2024,1,"all","unique",1,1
0,2025,1,"all","unique",1,1
0,2026,1,"all","unique",1,1
0,2027,1,"all","unique",1,1
0,2028,1,"all","unique",1,1
0,2029,1,"all","unique",1,1
0,2030,1,"all","unique",1,1
